subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1ME5	L1	antisense	608	3384	-2.07438	-1.75928	-0.3151	0.123355	1.46056	2.81808e-09	5.96884e-09
L1ME3	L1	antisense	1992	9252	-2.07757	-1.75928	-0.318289	0.125	1.90964	5.71057e-23	1.91398e-22
L1ME2z	L1	antisense	2031	7604	-2.08041	-1.75928	-0.321127	0.116691	2.1231	6.44075e-22	2.06782e-21
L1MA2	L1	antisense	1254	7478	-2.08125	-1.75928	-0.321975	0.0837321	1.46655	1.0872e-18	3.07034e-18
L1MA4A	L1	antisense	1073	6165	-2.08276	-1.75928	-0.323485	0.0876048	1.32394	1.9268e-16	5.11021e-16
L1ME3F	L1	antisense	974	4876	-2.08727	-1.75928	-0.327988	0.11807	1.50028	1.11066e-11	2.5859e-11
L1MA3	L1	antisense	1628	8904	-2.08857	-1.75928	-0.329291	0.0945946	1.5441	1.92614e-23	6.6008e-23
L1MA9	L1	antisense	2313	16569	-2.09149	-1.75928	-0.332211	0.102464	1.21619	1.6642e-34	8.05686e-34
L1MA10	L1	antisense	768	5013	-2.09155	-1.75928	-0.33227	0.138021	1.18832	1.50998e-07	2.8965e-07
L1MDb	L1	antisense	152	1070	-2.09364	-1.75928	-0.334366	0.131579	2.09135	0.00229654	0.00328847
L1M2c	L1	antisense	66	431	-2.09575	-1.75928	-0.336474	0.0606061	0.862794	0.141356	0.167107
L1P5	L1	sense	72	682	-0.669989	-0.330097	-0.339892	0.444444	1.27463	0.390255	0.425099
L1MC2	L1	antisense	1359	6341	-2.09936	-1.75928	-0.34008	0.0868286	1.75752	1.25013e-23	4.38265e-23
L1MD2	L1	antisense	2205	10973	-2.10323	-1.75928	-0.343951	0.0965986	2.06897	3.65187e-31	1.61423e-30
L1PA15-16	L1	antisense	163	1368	-2.10336	-1.75928	-0.344079	0.0490798	1.13757	0.000272031	0.000410741
L1MA6	L1	antisense	888	5410	-2.10446	-1.75928	-0.345177	0.106982	1.35942	3.96643e-14	9.60129e-14
L1PBa	L1	antisense	273	2184	-2.10549	-1.75928	-0.346213	0.0989011	1.13901	0.000306043	0.000455332
L1M1	L1	antisense	1449	9362	-2.10604	-1.75928	-0.346763	0.0835059	1.19468	1.05962e-20	3.23185e-20
L1ME2	L1	antisense	2756	12862	-2.10998	-1.75928	-0.350706	0.113208	1.78302	1.11988e-34	5.5994e-34
L1MB2	L1	antisense	2608	8901	-2.11353	-1.75928	-0.354252	0.110429	2.40262	4.98833e-37	2.6692e-36
L1PA14	L1	antisense	473	3040	-2.11369	-1.75928	-0.354407	0.0887949	1.24977	4.12173e-08	8.21652e-08
L1PB4	L1	antisense	1081	7428	-2.11588	-1.75928	-0.356603	0.107308	1.24214	4.78024e-16	1.23557e-15
L1MEg1	L1	antisense	185	911	-2.12046	-1.75928	-0.36118	0.113514	2.07419	0.000147818	0.000227699
L1MC3	L1	antisense	2352	13238	-2.12086	-1.75928	-0.361581	0.0901361	1.58197	1.39629e-41	8.51736e-41
L1M4c	L1	antisense	1123	6096	-2.12448	-1.75928	-0.365204	0.0934996	2.02849	7.54678e-19	2.15118e-18
L1PA11	L1	antisense	646	4107	-2.1267	-1.75928	-0.367424	0.0882353	1.36898	1.47419e-09	3.18885e-09
L1MD3	L1	antisense	1193	5276	-2.12867	-1.75928	-0.369391	0.110645	1.94606	1.50483e-19	4.41322e-19
L1M2b	L1	antisense	41	240	-2.13036	-1.75928	-0.371084	0.170732	0.641399	0.294052	0.32852
L1ME1	L1	antisense	7164	31502	-2.13927	-1.75928	-0.379992	0.0961753	1.92876	1.05515e-119	2.01139e-118
L1MB1	L1	antisense	898	6141	-2.14292	-1.75928	-0.383645	0.0757238	1.41832	5.91319e-21	1.84033e-20
L1MA8	L1	antisense	1724	10931	-2.14629	-1.75928	-0.387013	0.100348	1.23768	2.11478e-31	9.62698e-31
L1PB3	L1	antisense	567	3578	-2.14898	-1.75928	-0.389701	0.0811287	1.58287	1.00693e-11	2.36241e-11
L1PA13	L1	antisense	1232	8901	-2.1513	-1.75928	-0.392023	0.0844156	1.10874	2.52096e-23	8.54326e-23
L1P4a	L1	antisense	50	560	-2.15538	-1.75928	-0.396104	0.06	0.579646	0.162035	0.187199
L1PB1	L1	antisense	2070	13229	-2.1574	-1.75928	-0.398124	0.0806763	1.30243	2.81817e-42	1.75417e-41
L1M	L1	sense	177	974	-0.739791	-0.330097	-0.409694	0.344633	1.69025	0.00770115	0.010533
L1P4	L1	antisense	539	3655	-2.17287	-1.75928	-0.413587	0.128015	1.46825	2.00734e-12	4.7831e-12
L1PBb	L1	antisense	39	264	-2.17294	-1.75928	-0.413666	0.128205	1.11086	0.48052	0.505375
L1M4b	L1	antisense	1173	6355	-2.17431	-1.75928	-0.415028	0.0954817	1.63195	1.58783e-26	5.83479e-26
L1PA16	L1	antisense	2088	13927	-2.17668	-1.75928	-0.417405	0.0785441	1.45086	3.43907e-51	2.68953e-50
L1PB	L1	antisense	241	1752	-2.1778	-1.75928	-0.418525	0.116183	1.20834	3.63899e-06	6.36921e-06
L1MDa	L1	antisense	1322	7024	-2.18091	-1.75928	-0.421629	0.0922844	1.62234	6.99641e-29	2.73578e-28
L1PA15	L1	antisense	1214	8251	-2.18632	-1.75928	-0.427044	0.0576606	1.54091	4.19828e-38	2.32814e-37
L1MCb	L1	antisense	267	2139	-2.18733	-1.75928	-0.428049	0.123596	1.35505	6.23253e-06	1.05607e-05
L1ME2z	L1	sense	1143	7604	-0.758387	-0.330097	-0.42829	0.379703	1.07475	4.83445e-08	9.57473e-08
L1MEe	L1	antisense	2049	11783	-2.19032	-1.75928	-0.431038	0.108346	1.31431	1.96916e-44	1.27786e-43
L1M2	L1	antisense	1483	8981	-2.20329	-1.75928	-0.44401	0.105866	1.34598	6.32058e-29	2.50361e-28
L1MCa	L1	antisense	1323	7482	-2.20342	-1.75928	-0.444145	0.0922147	1.36957	2.39536e-30	1.02899e-29
L1ME3C	L1	antisense	2460	12438	-2.20623	-1.75928	-0.446952	0.103252	1.77357	3.31464e-50	2.46577e-49
L1PREC2	L1	antisense	1232	7756	-2.21515	-1.75928	-0.45587	0.0917208	1.31942	2.31059e-30	1.00676e-29
L1M4	L1	antisense	4031	17916	-2.21673	-1.75928	-0.457456	0.099231	1.98538	1.75506e-99	2.67646e-98
L1M5	L1	antisense	12909	63753	-2.21838	-1.75928	-0.459104	0.11124	1.71872	1.89682e-277	2.89265e-275
L1MEf	L1	antisense	3043	13932	-2.21942	-1.75928	-0.460144	0.082813	1.86527	1.09064e-79	1.2794e-78
L1MC4a	L1	antisense	6981	27328	-2.21967	-1.75928	-0.460389	0.096118	1.98563	1.14381e-158	3.87624e-157
L1M3	L1	antisense	1288	6751	-2.23642	-1.75928	-0.477137	0.0916149	1.82602	5.08692e-35	2.58585e-34
L1MEg	L1	antisense	3241	17926	-2.2427	-1.75928	-0.483418	0.103672	1.5517	2.59014e-82	3.15998e-81
L1M7	L1	antisense	793	4341	-2.24556	-1.75928	-0.486279	0.0958386	1.57284	1.82569e-23	6.32767e-23
L1ME3A	L1	sense	2333	15948	-0.827371	-0.330097	-0.497274	0.360909	0.840931	8.85832e-20	2.64881e-19
L1MC	L1	antisense	2598	11821	-2.25969	-1.75928	-0.500415	0.107775	1.90919	5.08482e-67	4.84646e-66
L1M3f	L1	antisense	126	696	-2.26203	-1.75928	-0.502755	0.0634921	1.8018	1.29954e-05	2.15413e-05
L1MEc	L1	antisense	3902	18607	-2.26491	-1.75928	-0.505631	0.0853409	1.7614	6.55075e-117	1.17528e-115
L1MEb	L1	antisense	401	1811	-2.27393	-1.75928	-0.514651	0.074813	2.13459	6.01015e-15	1.51496e-14
L1M3d	L1	antisense	77	537	-2.28121	-1.75928	-0.521927	0.0649351	1.29137	0.000161927	0.000246938
L1MEd	L1	antisense	1831	10565	-2.29028	-1.75928	-0.530999	0.0884762	1.55022	2.98187e-55	2.45803e-54
L1PA17	L1	antisense	871	4816	-2.29284	-1.75928	-0.533565	0.0677382	1.50118	1.38552e-31	6.40279e-31
L1MCc	L1	antisense	632	3390	-2.30584	-1.75928	-0.546558	0.068038	1.81053	2.52147e-26	9.15532e-26
AluYg6	Alu	sense	217	790	-0.877821	-0.330097	-0.547725	0.354839	0.645946	0.0143516	0.0191984
L1M2a1	L1	antisense	22	124	-2.31349	-1.75928	-0.554211	0.0454545	0.971054	0.0368169	0.0473804
L1MEg2	L1	antisense	148	761	-2.34344	-1.75928	-0.584162	0.101351	1.47934	6.51171e-05	0.00010185
L1MEa	L1	antisense	75	369	-2.36572	-1.75928	-0.60644	0.106667	1.40764	0.00198909	0.00287522
L1MD	L1	antisense	1782	8612	-2.40081	-1.75928	-0.641536	0.0970819	1.6071	2.03712e-63	1.88279e-62
L1M6	L1	antisense	1042	6882	-2.40657	-1.75928	-0.647296	0.0873321	1.27633	1.71103e-42	1.08722e-41
L1MC5	L1	sense	3526	20356	-1.00012	-0.330097	-0.670027	0.331821	1.12755	5.24414e-50	3.80825e-49
L1MA10	L1	sense	626	5013	-1.03954	-0.330097	-0.709446	0.348243	1.09782	6.59362e-11	1.46792e-10
L1P	L1	antisense	21	159	-2.50939	-1.75928	-0.750108	0.190476	0.678384	0.142119	0.167361
L1M	L1	antisense	178	974	-2.51471	-1.75928	-0.755431	0.0730337	1.50948	7.91271e-10	1.73624e-09
AluYk11	Alu	sense	244	1030	-1.20728	-0.330097	-0.877183	0.311475	1.77786	1.21389e-06	2.23034e-06
L1ME4a	L1	sense	7166	42873	-1.48223	-0.330097	-1.15213	0.278258	1.08208	4.48997e-238	4.5648e-236
AluYh9	Alu	sense	51	268	-1.58585	-0.330097	-1.25575	0.254902	0.823058	0.00146298	0.0021248
