subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1MDa	L1	sense	909	7024	0.371208	-0.330097	0.701304	0.578658	0.864326	3.15647e-22	1.04644e-21
AluYc3	Alu	antisense	171	569	-1.06984	-1.75928	0.689441	0.22807	1.1934	1.61933e-05	2.6697e-05
L1MEf	L1	sense	1887	13932	0.341862	-0.330097	0.671959	0.565448	0.933998	5.41613e-30	2.29433e-29
L1MA2	L1	sense	804	7478	0.334604	-0.330097	0.664701	0.54602	0.591318	6.12473e-09	1.2883e-08
L1MCa	L1	sense	891	7482	0.279985	-0.330097	0.610082	0.544332	0.581002	1.18665e-11	2.74188e-11
L1M3d	L1	sense	53	537	0.254753	-0.330097	0.58485	0.54717	0.465192	0.0736591	0.0913253
L1P4	L1	sense	450	3655	0.253944	-0.330097	0.584041	0.553333	0.703614	3.68342e-05	5.85127e-05
L1PA10	L1	sense	813	7044	0.249182	-0.330097	0.579279	0.537515	0.717034	1.05704e-14	2.64259e-14
L1MEg	L1	sense	2559	17926	0.236397	-0.330097	0.566493	0.545135	0.933923	2.92117e-29	1.17231e-28
L1PA17	L1	sense	554	4816	0.214878	-0.330097	0.544975	0.537906	0.765807	2.16391e-06	3.8823e-06
L1MEe	L1	sense	1513	11783	0.212351	-0.330097	0.542447	0.537343	0.820708	1.34104e-14	3.29853e-14
L1MEd	L1	sense	1714	10565	0.205388	-0.330097	0.535485	0.531505	1.1378	5.16062e-15	1.31166e-14
L1PA12	L1	sense	217	1764	0.161414	-0.330097	0.491511	0.525346	0.838522	0.00661818	0.00909254
L1M3a	L1	sense	83	625	0.150382	-0.330097	0.480479	0.518072	0.775928	0.121188	0.144951
L1MEb	L1	sense	267	1811	0.146221	-0.330097	0.476318	0.524345	1.04425	0.000875393	0.00128363
L1M4b	L1	sense	886	6355	0.145638	-0.330097	0.475735	0.530474	0.7544	7.10044e-06	1.18991e-05
L1M3c	L1	sense	117	1098	0.141471	-0.330097	0.471568	0.538462	0.890084	0.00554526	0.00768775
L1MCc	L1	sense	344	3390	0.141249	-0.330097	0.471346	0.511628	0.671979	0.0453126	0.0578257
L1PB4	L1	sense	847	7428	0.139558	-0.330097	0.469655	0.520661	0.756968	5.86087e-07	1.10343e-06
L1MA5	L1	sense	542	4432	0.130614	-0.330097	0.46071	0.531365	0.731067	3.32175e-05	5.30436e-05
L1MD1	L1	sense	861	6800	0.121941	-0.330097	0.452037	0.519164	0.773838	7.64074e-06	1.27346e-05
AluYc3	Alu	sense	228	569	0.114928	-0.330097	0.445025	0.52193	0.547314	0.0116454	0.0157861
L1MA4	L1	sense	1289	9955	0.0915217	-0.330097	0.421618	0.515904	0.673258	2.13883e-06	3.86002e-06
L1M2	L1	sense	1050	8981	0.070708	-0.330097	0.400805	0.508571	0.830306	8.92234e-07	1.66952e-06
