sample	strand	sum_data
mint_r1	neg	492309552.000000
mint_r1	pos	507072317.000000
mint_r2	neg	491779406.000000
mint_r2	pos	508397466.000000
tt_r1	neg	490162315.000000
tt_r1	pos	510893988.000000
tt_r2	neg	488209215.000000
tt_r2	pos	510292076.000000
