subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1P3b	antisense	L1	5	8.7665	0.0000	25.2874	3.0422	3.4977	3.2699	yes
AluYb9	antisense	Alu	14	8.3529	0.0000	13.1911	3.3922	3.0369	3.2145	yes
L1MEc	sense	L1	479	14289.9605	1610.0125	5066.4704	3.6805	2.7375	3.2090	yes
L1PB3	sense	L1	102	1274.5276	157.1294	775.6778	3.8642	2.5008	3.1825	yes
L1M3de	antisense	L1	7	8.0643	0.0000	3.1709	3.4530	2.8435	3.1482	yes
L1MA9	antisense	L1	343	2236.4634	275.1009	2233.6141	2.7056	3.4740	3.0898	yes
L1P4a	sense	L1	10	245.1781	28.8768	37.3701	2.9347	3.1557	3.0452	yes
L1M3f	antisense	L1	17	55.4529	23.0410	103.3777	0.2316	5.8487	3.0401	yes
L1PA16	sense	L1	327	3845.5015	495.9710	2584.6309	3.1254	2.7991	2.9623	yes
L1M7	sense	L1	110	865.8270	110.7449	479.0700	3.1318	2.7925	2.9622	yes
L1M6B	antisense	L1	18	41.6871	15.3606	42.9276	0.4105	5.4334	2.9219	yes
L1PA8	sense	L1	179	1306.1095	186.0062	1175.8059	3.5400	2.2920	2.9160	yes
L1MA10	sense	L1	100	928.5381	127.1791	501.0937	3.4073	2.4155	2.9114	yes
L1MA1	sense	L1	97	811.7739	117.3518	822.6327	2.3272	3.3716	2.8494	yes
L1M3b	sense	L1	7	434.7461	92.6176	827.7926	4.2167	1.3792	2.7979	yes
L1PA15	sense	L1	197	3410.8214	495.0488	2624.9405	3.0711	2.5214	2.7963	yes
L1M3e	sense	L1	16	52.2307	27.0324	65.8106	6.0959	-0.5327	2.7816	NO
L1MC1	sense	L1	377	4947.0575	720.2276	2538.9936	2.8700	2.6902	2.7801	yes
L1MA5	sense	L1	150	1508.5236	257.4273	848.6345	3.6546	1.8924	2.7735	yes
L1MDa	antisense	L1	208	1677.0845	249.2932	1711.0521	2.7354	2.7565	2.7459	yes
L1MCb	antisense	L1	62	239.5535	48.2289	448.0274	3.9659	1.4574	2.7117	yes
AluYi6_4d	antisense	Alu	14	5.5765	0.0000	7.8905	2.5791	2.8435	2.7113	yes
L1MDa	sense	L1	203	4440.4591	682.7482	2925.7914	2.8370	2.5734	2.7052	yes
L1MEg1	antisense	L1	13	5.5141	0.0000	17.4033	2.7825	2.6201	2.7013	yes
AluYh3a3	antisense	Alu	16	40.8995	20.2743	52.0978	5.3183	0.0794	2.6989	yes
L1MEg	sense	L1	375	4906.1066	777.3615	1993.1548	3.0140	2.3563	2.6852	yes
L1P5	antisense	L1	9	17.6263	3.8402	27.0809	1.1372	4.1827	2.6599	yes
L1MEi	antisense	L1	139	317.5466	55.9092	500.1909	3.3743	1.9083	2.6413	yes
L1MA8	sense	L1	244	2359.4704	389.9885	1100.6574	2.7381	2.4568	2.5975	yes
AluYh7	antisense	Alu	9	5.0072	0.0000	10.7845	2.4655	2.6985	2.5820	yes
L1PA15	antisense	L1	167	1195.5226	208.1249	2276.0678	3.0969	2.0658	2.5814	yes
L1PB	sense	L1	49	692.7775	117.5030	386.0450	2.7977	2.3336	2.5657	yes
AluYh7	sense	Alu	6	4.8901	0.0000	7.0006	2.5791	2.5372	2.5581	yes
L1PA3	sense	L1	521	6112.6495	1053.3847	1662.4251	2.5758	2.4985	2.5371	yes
L1PREC2	sense	L1	272	2064.4996	365.1031	2052.7023	2.8394	2.2250	2.5322	yes
L1PA2	sense	L1	322	6770.0930	1166.7451	2244.1592	2.3735	2.6891	2.5313	yes
L1PB1	antisense	L1	398	3384.1323	595.8153	7074.6906	2.4200	2.5946	2.5073	yes
L1P3	sense	L1	78	4965.0252	881.0459	685.4962	2.5709	2.4203	2.4956	yes
L1MC	sense	L1	198	1368.8779	253.2847	474.1420	2.6628	2.2156	2.4392	yes
L1ME3F	sense	L1	123	570.7653	104.9091	290.4231	2.3305	2.5476	2.4391	yes
AluYk12	antisense	Alu	5	4.6173	0.0000	6.4931	1.8930	2.9109	2.4019	yes
L1MA4	antisense	L1	252	937.9470	185.7037	1512.7169	2.0923	2.6258	2.3590	yes
L1M3	sense	L1	152	1027.2146	203.9823	653.9177	2.1368	2.5732	2.3550	yes
