subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M1	antisense	L1	16451	13688	3235	4086	35	5
L1M1	sense	L1	7988	6016	6420	8074	149	74
L1M2	antisense	L1	7461	6208	1731	2229	56	30
L1M2	sense	L1	21135	16534	13256	15065	484	311
L1M2a	antisense	L1	791	563	71	117	0	1
L1M2a	sense	L1	658	312	33	105	0	0
L1M2a1	antisense	L1	101	62	38	19	0	1
L1M2a1	sense	L1	354	275	417	575	6	6
L1M2b	antisense	L1	20	16	2	3	1	0
L1M2b	sense	L1	49	50	3	4	0	0
L1M2c	antisense	L1	722	548	113	152	9	2
L1M2c	sense	L1	810	483	244	309	1	0
L1M3	antisense	L1	2802	2536	1099	1352	57	30
L1M3	sense	L1	2926	2355	2397	2827	32	12
L1M3a	antisense	L1	826	661	170	300	16	24
L1M3a	sense	L1	517	423	1269	1694	3	4
L1M3b	antisense	L1	40	31	39	63	0	0
L1M3b	sense	L1	3855	2859	986	1234	3	12
L1M3c	antisense	L1	115	121	103	91	4	13
L1M3c	sense	L1	299	203	225	270	2	0
L1M3d	antisense	L1	301	161	47	75	0	0
L1M3d	sense	L1	29	15	2	13	0	0
L1M3de	antisense	L1	11	14	22	18	0	0
L1M3de	sense	L1	1672	1149	678	837	10	10
L1M3e	antisense	L1	14	16	6	0	0	0
L1M3e	sense	L1	250	273	149	108	0	4
L1M3f	antisense	L1	458	376	120	165	6	0
L1M3f	sense	L1	563	385	280	284	0	0
L1M4	antisense	L1	11270	9679	4475	5651	101	71
L1M4	sense	L1	16673	13052	15783	20921	404	305
L1M4a1	antisense	L1	1916	1870	571	649	3	7
L1M4a1	sense	L1	2465	2111	3784	4612	8	17
L1M4a2	antisense	L1	814	752	196	280	3	2
L1M4a2	sense	L1	1293	949	1396	1701	5	3
L1M4b	antisense	L1	4581	4302	1415	1797	27	20
L1M4b	sense	L1	1593	1326	2291	2735	235	151
L1M4c	antisense	L1	2156	2063	983	1358	10	10
L1M4c	sense	L1	51522	52612	646505	888831	2033	3101
L1M5	antisense	L1	17514	16243	10395	13027	457	211
L1M5	sense	L1	21589	17528	20857	26993	500	333
L1M6	antisense	L1	3047	2655	1803	2101	4	4
L1M6	sense	L1	3438	2742	1919	2321	16	18
L1M6B	antisense	L1	199	149	91	123	4	0
L1M6B	sense	L1	432	310	427	587	164	128
L1M7	antisense	L1	746	791	255	286	6	2
L1M7	sense	L1	2102	1759	1952	2473	13	9
L1M8	antisense	L1	610	603	182	161	1	0
L1M8	sense	L1	430	376	1367	1540	4	5
L1MA1	antisense	L1	3122	2895	3002	4033	32	25
L1MA1	sense	L1	3783	2880	1713	2473	20	6
L1MA10	antisense	L1	1646	1354	777	910	22	12
L1MA10	sense	L1	2217	1825	2183	2534	12	12
L1MA2	antisense	L1	9162	7907	3820	4723	53	22
L1MA2	sense	L1	5669	4270	8203	10219	24	22
L1MA3	antisense	L1	7868	7198	3605	4460	11	14
L1MA3	sense	L1	13963	10736	18847	22523	53	56
L1MA4	antisense	L1	6430	5722	2107	2689	29	11
L1MA4	sense	L1	6561	4788	5551	7529	145	118
L1MA4A	antisense	L1	11820	9731	2418	3010	45	16
L1MA4A	sense	L1	6266	4912	8431	10545	34	24
L1MA5	antisense	L1	4594	4383	1976	2578	56	39
L1MA5	sense	L1	3826	3033	3447	4248	16	29
L1MA5A	antisense	L1	2466	2187	1615	2049	23	11
L1MA5A	sense	L1	1982	1837	1377	1561	38	27
L1MA6	antisense	L1	4469	3792	1412	1863	16	15
