subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M	sense	L1	952	731	850	1047	7	4
L1M1	antisense	L1	1840	1755	1532	2123	13	7
L1M1	sense	L1	69271	52989	78209	96225	139	154
L1M2	antisense	L1	1434	1205	813	857	12	0
L1M2	sense	L1	43763	32771	41172	50811	132	135
L1M2a	antisense	L1	74	57	51	61	0	0
L1M2a	sense	L1	2867	1959	2704	3297	2	0
L1M2a1	antisense	L1	4	1	5	3	0	0
L1M2a1	sense	L1	67	32	38	50	1	0
L1M2b	antisense	L1	0	2	40	15	0	0
L1M2b	sense	L1	933	578	226	280	0	1
L1M2c	antisense	L1	20	12	162	184	0	0
L1M2c	sense	L1	11494	8269	10044	11922	15	14
L1M3	antisense	L1	611	615	694	753	103	80
L1M3	sense	L1	20972	16923	16997	21094	183	126
L1M3a	antisense	L1	5	4	1	7	2	1
L1M3a	sense	L1	2030	1594	583	764	21	14
L1M3b	antisense	L1	171	195	61	61	1	0
L1M3b	sense	L1	870	578	225	273	13	1
L1M3c	antisense	L1	26	28	25	48	0	0
L1M3c	sense	L1	2794	2304	2342	2957	10	1
L1M3d	antisense	L1	192	134	33	43	0	0
L1M3d	sense	L1	1756	1446	1133	1332	0	2
L1M3de	antisense	L1	31	30	7	7	0	1
L1M3de	sense	L1	2456	1848	1076	1188	0	2
L1M3e	antisense	L1	378	239	69	109	0	0
L1M3e	sense	L1	5455	3919	6074	7594	16	9
L1M3f	antisense	L1	28	51	77	90	2	2
L1M3f	sense	L1	3848	2761	3716	5094	16	20
L1M4	antisense	L1	1014	978	1105	1335	51	14
L1M4	sense	L1	71891	55791	65559	82268	684	475
L1M4a1	antisense	L1	73	64	173	176	1	1
L1M4a1	sense	L1	13613	10835	17528	20801	34	34
L1M4a2	antisense	L1	113	115	103	129	2	2
L1M4a2	sense	L1	8886	6959	8891	11460	44	41
L1M4b	antisense	L1	58	116	338	417	20	4
L1M4b	sense	L1	18696	13695	18371	22490	69	70
L1M4c	antisense	L1	724	742	257	368	12	10
L1M4c	sense	L1	12498	9967	14600	18684	37	54
