subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1PA2	sense	L1	157	2849.6292	781.5190	513.3183	1.6517	2.0894	1.8706	yes
L1PA15-16	antisense	L1	9	34.8233	10.5983	147.7654	2.2801	1.0223	1.6512	yes
L1MC2	antisense	L1	45	405.0443	133.7859	532.0286	1.6139	1.5630	1.5885	yes
L1ME3F	sense	L1	29	42.2019	103.6844	32.3593	-2.3051	5.4673	1.5811	NO
L1MEj	sense	L1	5	2.0513	0.0000	0.2769	1.2369	1.9052	1.5711	yes
L1ME3D	sense	L1	29	62.3785	21.1965	17.3041	1.9752	1.1552	1.5652	yes
L1MEa	sense	L1	4	2.0979	0.0000	1.2525	2.0588	1.0212	1.5400	yes
L1MA9	sense	L1	47	112.9183	40.3973	67.5940	0.9764	2.0989	1.5377	yes
L1MEi	antisense	L1	22	213.0602	75.1100	154.0573	1.6371	1.3550	1.4961	yes
SVA_E	sense	SVA	4	1.9967	0.0000	4.6011	0.9295	2.0316	1.4806	yes
AluYk11	antisense	Alu	6	9.7099	6.7581	11.3384	3.7239	-0.8227	1.4506	NO
SVA_C	sense	SVA	4	2.2853	0.0000	0.5010	0.5384	2.3557	1.4470	yes
L1P4	sense	L1	12	53.7133	22.1187	30.1519	0.9038	1.7865	1.3451	yes
L1M6B	antisense	L1	7	202.5317	83.7126	369.5968	0.9815	1.6003	1.2909	yes
L1PB4	sense	L1	31	26.3691	10.5983	11.5368	1.8083	0.7455	1.2769	yes
L1PA3	sense	L1	128	1161.8362	520.5540	247.7438	0.8570	1.5110	1.1840	yes
AluYk12	antisense	Alu	1	1.5286	0.0000	0.0000	1.8930	0.4257	1.1593	yes
L1P2	antisense	L1	16	259.0602	117.5030	714.2814	1.3947	0.9050	1.1498	yes
L1PBb	antisense	L1	4	10.2563	11.5205	16.1308	-1.6267	3.8805	1.1269	NO
L1MA2	antisense	L1	44	213.1305	106.7535	375.0472	0.5550	1.6309	1.0930	yes
AluYe6	sense	Alu	1	1.1387	0.0000	0.2769	0.9295	1.2466	1.0880	yes
L1ME3	sense	L1	68	144.7311	69.2742	117.3017	0.7652	1.4084	1.0868	yes
L1ME1	sense	L1	155	529.1300	248.3710	159.1173	1.1976	0.9644	1.0810	yes
L1MC4	sense	L1	182	613.6502	293.5307	198.7227	1.0278	1.1033	1.0656	yes
L1MC4a	sense	L1	57	75.9569	52.8400	26.6184	-0.2169	2.3451	1.0641	NO
L1PA16	antisense	L1	103	1264.8102	609.6339	2141.7783	1.3379	0.7850	1.0614	yes
L1M4c	sense	L1	16	15.4193	30.7213	13.1190	-2.0554	4.1551	1.0498	NO
L1ME3A	sense	L1	72	82.1968	45.3110	45.7888	1.7210	0.3455	1.0333	yes
L1P4b	sense	L1	1	0.9671	0.0000	1.1733	0.9295	1.0212	0.9754	yes
L1MCa	sense	L1	26	86.1967	43.3153	76.0855	1.0811	0.8480	0.9645	yes
L1ME3B	sense	L1	62	166.5605	91.5441	35.5060	1.5138	0.3545	0.9342	yes
AluYk11	sense	Alu	2	1.1308	0.0000	0.0000	1.7056	0.0000	0.8528	NO
L1PA12	antisense	L1	10	45.5391	29.7991	244.2518	0.3119	1.2545	0.7832	yes
L1PA13	antisense	L1	39	265.4875	154.0602	673.3314	0.8319	0.7340	0.7830	yes
L1P3	antisense	L1	23	473.4702	280.1658	523.1388	0.7797	0.7303	0.7550	yes
AluYh3a3	sense	Alu	3	6.5200	7.6803	18.7871	-0.5791	2.0316	0.7263	NO
L1PA15	sense	L1	26	112.5205	69.2742	5.2278	0.3279	1.1208	0.7243	yes
L1MA4	antisense	L1	65	426.9053	259.8915	1047.8112	0.7825	0.6317	0.7071	yes
L1ME3F	antisense	L1	44	607.4920	373.5544	874.1171	0.7529	0.6466	0.6998	yes
L1MA3	antisense	L1	79	906.7567	587.6664	1303.6060	1.0700	0.2649	0.6675	yes
L1MA7	antisense	L1	50	369.2855	252.5137	424.9724	1.3794	-0.0588	0.6603	NO
L1MA3	sense	L1	36	55.6639	35.6349	145.2319	0.6124	0.6419	0.6272	yes
L1P4	antisense	L1	22	345.5297	223.3343	564.5512	0.6615	0.5900	0.6258	yes
SVA_B	antisense	SVA	9	85.7766	57.7537	171.4248	0.4162	0.7125	0.5643	yes
L1MDa	sense	L1	40	37.4755	29.7991	3.2630	-0.2887	1.4037	0.5575	NO
L1P4b	antisense	L1	1	141.0816	98.1510	131.8365	0.2005	0.8756	0.5381	yes
L1P4a	sense	L1	4	3.2445	3.8402	0.0000	-1.2248	2.2555	0.5154	NO
L1M8	antisense	L1	6	30.2685	21.1965	53.1741	1.2362	-0.2244	0.5059	NO
L1MCa	antisense	L1	47	733.1042	527.6146	747.6629	0.6146	0.3256	0.4701	yes
L1M3b	sense	L1	3	0.4523	0.0000	0.2241	0.9295	0.0000	0.4648	NO
L1PBb	sense	L1	2	0.4523	0.0000	0.2769	0.9295	0.0000	0.4648	NO
L1HS	antisense	L1	24	352.7137	256.0513	606.2584	0.4166	0.5075	0.4621	yes
L1PA5	antisense	L1	76	1179.5834	873.5168	2532.4416	0.6620	0.2277	0.4448	yes
L1MEb	antisense	L1	19	62.6592	83.5613	159.2066	-1.2450	2.0967	0.4258	NO
L1MD3	sense	L1	26	37.5452	33.6392	17.1456	-0.2443	1.0880	0.4218	NO
