subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M2a1	antisense	L1	11	5	0	5	3	3
L1M2a1	sense	NA	0	0	0	0	0	0
L1M2b	antisense	NA	0	0	0	0	0	0
L1M2b	sense	NA	0	0	0	0	0	0
L1M2c	antisense	L1	19	4	0	1	0	0
L1M2c	sense	NA	0	0	0	0	0	0
L1M3	antisense	L1	2713	2739	1418	1686	73	43
L1M3	sense	L1	36	12	50	55	2	0
L1M3a	antisense	L1	2135	1899	662	882	117	55
L1M3a	sense	L1	1	10	19	31	3	2
L1M3b	antisense	L1	3	2	0	0	0	0
L1M3b	sense	L1	2	0	2	0	0	0
L1M3c	antisense	L1	323	307	56	59	2	2
L1M3c	sense	L1	68	50	192	210	3	1
L1M3d	antisense	L1	276	201	94	118	22	17
L1M3d	sense	L1	0	0	6	7	1	5
L1M3de	antisense	L1	22	13	0	1	0	0
L1M3de	sense	L1	2	0	1	2	1	0
L1M3e	antisense	L1	192	118	76	96	12	9
L1M3e	sense	L1	22	0	7	16	0	0
L1M3f	antisense	L1	274	256	122	171	17	16
L1M3f	sense	L1	40	23	40	81	0	1
L1M4	antisense	L1	9014	7705	2622	3397	125	98
L1M4	sense	L1	345	220	204	291	7	19
L1M4a1	antisense	L1	3077	2572	963	1044	113	68
L1M4a1	sense	L1	10	9	43	56	18	10
L1M4a2	antisense	L1	191	71	18	20	12	2
L1M4a2	sense	L1	0	0	7	7	1	2
L1M4b	antisense	L1	3480	2251	1231	1484	535	322
L1M4b	sense	L1	39	23	45	85	6	2
L1M4c	antisense	L1	1257	1167	687	875	185	117
L1M4c	sense	L1	38	64	31	49	8	0
L1M5	antisense	L1	14915	13186	8221	9771	1281	744
L1M5	sense	L1	735	698	2113	2269	116	53
L1M6	antisense	L1	604	596	364	500	12	13
L1M6	sense	L1	40	48	57	82	0	0
L1M6B	antisense	L1	1555	1411	438	603	13	5
L1M6B	sense	L1	4	0	25	27	0	0
L1M7	antisense	L1	656	506	155	199	40	35
L1M7	sense	L1	79	54	74	89	10	2
L1M8	antisense	L1	178	240	83	67	2	2
L1M8	sense	L1	377	287	9	21	0	0
L1MA1	antisense	L1	1912	1797	820	869	34	28
L1MA1	sense	L1	6	2	23	43	0	0
L1MA10	antisense	L1	1314	1088	1156	1414	73	55
L1MA10	sense	L1	32	12	26	53	4	6
L1MA2	antisense	L1	1616	1401	475	616	19	5
L1MA2	sense	L1	184	141	74	89	2	0
L1MA3	antisense	L1	5944	4605	2070	2556	58	54
L1MA3	sense	L1	619	548	105	186	4	3
L1MA4	antisense	L1	4641	3812	1053	1100	36	18
L1MA4	sense	L1	32	25	108	91	9	4
L1MA4A	antisense	L1	1836	1677	563	695	10	0
L1MA4A	sense	L1	10	21	21	40	0	0
L1MA5	antisense	L1	736	716	278	329	10	8
