subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1PA10	sense	L1	1864	29673.3456	4081.4312	19104.8941	3.0387	2.7054	2.8720	yes
L1M4a2	sense	L1	476	5671.7220	788.8820	2696.5499	3.1657	2.5708	2.8683	yes
L1M8	sense	L1	434	7784.2905	1079.9633	3534.4306	2.7800	2.9239	2.8520	yes
L1M3de	sense	L1	97	1314.7707	196.6045	991.0443	3.5151	2.1631	2.8391	yes
L1MA9	sense	L1	3309	34213.7203	4938.3479	15815.3498	3.1159	2.5113	2.8136	yes
L1PREC2	sense	L1	2028	31780.1118	4580.3202	15578.5208	3.0236	2.5851	2.8044	yes
L1MEi	sense	L1	1317	16914.7102	2446.6845	6554.0061	2.8847	2.6973	2.7910	yes
L1MEg2	sense	L1	174	745.3698	112.7406	350.6725	3.2222	2.3567	2.7895	yes
L1MC1	sense	L1	3216	32574.1602	4733.1705	19035.7977	2.8623	2.7030	2.7826	yes
L1P4b	sense	L1	36	34.0679	11.5205	42.6507	0.0285	5.5114	2.7700	yes
AluYk12	antisense	Alu	57	75.3251	10.5983	132.6003	3.2151	2.3111	2.7631	yes
L1M7	sense	L1	850	9056.4908	1342.1530	3249.6782	2.8070	2.7009	2.7540	yes
L1MEc	sense	L1	4681	59282.6560	9211.7725	26020.4885	2.9771	2.4323	2.7047	yes
L1M3d	sense	L1	104	704.0153	108.7492	541.9622	2.5511	2.8386	2.6949	yes
L1MEa	sense	L1	109	356.1529	67.2785	300.2362	1.7646	3.6238	2.6942	yes
L1MEg1	sense	L1	204	1584.2707	260.6625	875.8282	2.2301	3.1275	2.6788	yes
L1P5	sense	L1	100	738.7071	115.5073	324.7486	2.5989	2.7397	2.6693	yes
L1PA6	antisense	L1	2515	18914.8148	3084.8928	44057.4822	2.6812	2.5520	2.6166	yes
L1MEf	sense	L1	3005	38310.7270	6487.4160	16284.8097	2.7082	2.4246	2.5664	yes
L1HS	sense	L1	1202	15859.9264	2739.4443	5468.9009	2.5574	2.5110	2.5342	yes
L1MA5A	sense	L1	862	9446.9648	1715.0729	4946.0502	3.0163	2.0320	2.5242	yes
L1MA6	sense	L1	1292	12805.9241	2281.7088	6784.0105	2.7966	2.2117	2.5041	yes
L1ME2	sense	L1	2910	25837.9069	4670.7909	14539.2981	2.6959	2.2573	2.4766	yes
L1M2c	antisense	L1	117	279.7595	59.5981	591.6598	1.6180	3.2972	2.4576	yes
L1PBb	antisense	L1	84	334.5246	63.5895	846.5318	2.9353	1.9211	2.4282	yes
L1PA2	sense	L1	3067	34253.1169	6442.5735	10325.1801	2.4055	2.4147	2.4101	yes
AluYh9	antisense	Alu	30	32.2343	19.2008	126.6560	-0.1740	4.9793	2.4026	NO
L1MA7	sense	L1	1828	11925.0624	2266.8167	7438.5121	2.5608	2.2382	2.3995	yes
L1PB3	antisense	L1	950	6191.7063	1219.2678	9647.9364	2.5771	2.1337	2.3554	yes
L1PA7	antisense	L1	4372	32946.6795	6508.6272	73474.4500	2.4004	2.2798	2.3401	yes
L1MA1	antisense	L1	970	8214.3579	1643.6666	13534.3721	2.4626	2.1819	2.3222	yes
L1MCc	sense	L1	747	5762.7971	1203.2874	2689.1744	2.6876	1.9203	2.3040	yes
L1PA5	antisense	L1	5058	23817.8821	4859.1100	55361.6134	2.4179	2.1786	2.2982	yes
L1MA4A	antisense	L1	1699	10446.3994	2133.6505	19150.6251	2.4053	2.1767	2.2910	yes
L1P4	antisense	L1	843	3480.7020	744.6593	6841.0380	1.9801	2.5470	2.2635	yes
L1M3b	sense	L1	122	889.6538	186.7772	1260.1265	2.2925	2.1989	2.2457	yes
L1PA13	antisense	L1	2179	11669.3319	2483.2564	21934.0193	2.1660	2.3065	2.2363	yes
L1MC2	antisense	L1	1835	11120.2285	2377.7128	12885.9906	2.4380	2.0276	2.2328	yes
L1P5	antisense	L1	129	216.9760	51.9178	284.7942	1.4570	2.9877	2.2223	yes
L1MEh	sense	L1	629	5261.1413	1132.9546	2229.5516	2.1516	2.2815	2.2166	yes
L1P3	antisense	L1	817	4013.9932	898.8560	8636.2129	2.6217	1.7829	2.2023	yes
L1MB8	sense	L1	4470	40360.3188	8912.5719	24069.4725	2.4037	1.9815	2.1926	yes
L1MEd	sense	L1	5337	55086.5919	12339.4972	23768.6186	2.4537	1.9052	2.1795	yes
L1MEb	antisense	L1	528	1622.7291	381.8544	2719.1997	1.7103	2.6206	2.1654	yes
L1PB1	antisense	L1	3664	21428.9121	4795.3693	51136.8516	2.3072	2.0181	2.1627	yes
L1PREC2	antisense	L1	2070	10274.3830	2299.3824	17884.7489	2.2791	2.0434	2.1613	yes
L1PBa	antisense	L1	579	3208.0308	732.0506	6253.3712	2.4449	1.8632	2.1541	yes
L1M6	antisense	L1	1225	4166.2395	942.7910	4307.8472	2.3677	1.9298	2.1487	yes
L1MDa	sense	L1	1637	23291.3629	5314.5325	11941.6216	2.2627	2.0098	2.1363	yes
L1MA3	antisense	L1	2548	17099.3359	4044.7376	28803.0191	2.1673	1.9909	2.0791	yes
L1M3de	antisense	L1	115	279.7680	67.4297	792.1584	2.3264	1.8050	2.0657	yes
L1PA4	antisense	L1	5767	25476.5081	6140.2742	48846.5001	2.2218	1.9008	2.0613	yes
L1MA4	antisense	L1	2596	13600.6781	3269.9768	19910.0684	2.1915	1.9236	2.0576	yes
L1M2	sense	L1	2159	30510.0742	7486.1014	17340.0884	2.2993	1.7763	2.0378	yes
L1P1	antisense	L1	1389	4408.6552	1086.2529	7339.0388	2.1968	1.8554	2.0261	yes
L1MA7	antisense	L1	1946	10516.6167	2586.9260	14540.9994	2.0907	1.9530	2.0219	yes
L1PA11	antisense	L1	1211	7388.8476	1828.5993	17796.8938	2.1476	1.8874	2.0175	yes
L1MC	sense	L1	1692	14298.4422	3545.6826	6113.7483	2.2023	1.8302	2.0162	yes
L1M4c	sense	L1	800	306865.0485	79884.7037	16519.0323	2.3935	1.6099	2.0017	yes
L1MB2	sense	L1	2409	20757.5768	5257.7159	11266.9003	2.0280	1.9337	1.9809	yes
L1PA17	antisense	L1	1277	8182.9589	2074.6721	17189.3646	2.0047	1.9531	1.9789	yes
L1PB4	antisense	L1	1759	6704.6682	1713.7117	11267.6635	2.0225	1.9112	1.9669	yes
L1MB4	sense	L1	2341	18101.9053	4698.2918	10216.4933	2.0976	1.8038	1.9507	yes
L1PA16	antisense	L1	3579	18112.6070	4699.2288	35333.3178	2.0187	1.8715	1.9451	yes
L1ME3E	sense	L1	1217	7793.5981	2055.1540	3795.7136	2.1295	1.7353	1.9324	yes
L1MC1	antisense	L1	3847	22381.6348	5907.5811	32369.6582	2.0892	1.7590	1.9241	yes
L1MA8	sense	L1	2303	20319.3227	5432.4893	9611.9669	2.1131	1.7101	1.9116	yes
L1M2a1	antisense	L1	31	190.4353	50.0733	315.1280	1.9680	1.8512	1.9096	yes
L1MEi	antisense	L1	1195	3036.0437	848.7826	4498.3353	2.2779	1.4961	1.8870	yes
L1M3c	antisense	L1	235	589.4994	190.9198	1121.8942	2.8088	0.9640	1.8864	yes
L1M3e	antisense	L1	173	892.4998	248.3710	1634.7706	1.8544	1.8272	1.8408	yes
L1M4a2	antisense	L1	592	1551.3731	463.5713	2749.0646	1.3412	2.3362	1.8387	yes
L1MEj	antisense	L1	532	1356.8518	379.3902	1865.8922	1.9820	1.6950	1.8385	yes
L1MA9	antisense	L1	3550	15544.9774	4365.9205	18620.3268	1.8714	1.7906	1.8310	yes
L1M8	antisense	L1	472	1409.6439	398.4398	2437.7345	1.7180	1.9402	1.8291	yes
L1MCc	antisense	L1	832	3775.2746	1065.5249	7558.9448	1.7697	1.8846	1.8272	yes
L1PA15	antisense	L1	2121	12546.5871	3582.6935	25510.9145	2.0460	1.5942	1.8201	yes
L1MC4a	sense	L1	2789	23670.8785	6729.9511	12937.3564	1.9325	1.7041	1.8183	yes
L1P3b	antisense	L1	18	13.6099	7.6803	66.7384	-0.5208	4.1551	1.8172	NO
L1ME3Cz	sense	L1	2928	23133.8737	6622.7291	11408.9283	2.0059	1.6188	1.8124	yes
L1PA10	antisense	L1	1901	7761.0766	2256.6721	19688.6848	2.0483	1.5501	1.7992	yes
L1MCa	antisense	L1	1900	8841.1394	2548.0559	13536.2474	1.9987	1.5997	1.7992	yes
L1ME5	sense	L1	708	4654.2620	1351.8290	2576.4824	1.8730	1.6943	1.7837	yes
L1MB1	sense	L1	1241	9459.1673	2768.4723	5912.2632	1.9380	1.6140	1.7760	yes
L1MD2	sense	L1	2610	19470.6484	5708.9809	12661.7516	1.8598	1.6848	1.7723	yes
L1ME3	sense	L1	2263	15728.4562	4661.2957	8962.1460	1.7418	1.7673	1.7546	yes
L1ME3D	sense	L1	1009	8891.4079	2736.9800	4092.5605	1.9179	1.4994	1.7087	yes
L1MD	sense	L1	1943	18253.3101	5655.8384	8255.2252	1.7862	1.5968	1.6915	yes
L1MEg2	antisense	L1	196	1054.5528	382.7619	1278.9874	2.5504	0.8166	1.6835	yes
L1M1	antisense	L1	2500	15088.0298	4756.9824	27961.5021	1.7224	1.6064	1.6644	yes
L1P4a	antisense	L1	139	592.7433	188.6216	1159.2393	1.5013	1.8191	1.6602	yes
L1MEa	antisense	L1	109	338.6837	112.7406	449.6982	2.0996	1.2085	1.6541	yes
L1MDa	antisense	L1	1913	7328.5519	2329.8012	13400.6884	1.6748	1.6306	1.6527	yes
L1ME3A	sense	L1	3871	23734.4301	7586.8974	14419.8134	1.7215	1.5690	1.6452	yes
L1M3a	sense	L1	154	958.2104	308.1204	645.2814	1.7148	1.5566	1.6357	yes
L1PB	antisense	L1	396	1723.7664	558.3359	2875.5207	1.6376	1.6107	1.6241	yes
L1M4	sense	L1	4996	43502.6507	14190.0936	23251.5094	1.8042	1.4439	1.6240	yes
L1P3b	sense	L1	18	65.3028	21.1965	40.0736	2.1561	1.0903	1.6232	yes
L1ME3F	sense	L1	1171	9758.2668	3205.6162	3917.5212	1.7363	1.4831	1.6097	yes
L1M1	sense	L1	2374	56981.3743	18831.4766	24677.7198	1.6509	1.5425	1.5967	yes
L1MA5	antisense	L1	1248	5715.3650	1914.7613	8357.1691	1.8622	1.3275	1.5948	yes
L1MB7	sense	L1	6244	54017.6528	18034.8846	32197.7372	1.6618	1.5050	1.5834	yes
L1P2	antisense	L1	559	3702.4956	1259.8312	10599.5528	1.3890	1.7372	1.5631	yes
L1ME3G	sense	L1	4139	21481.2910	7320.0670	11982.6210	1.7613	1.3625	1.5619	yes
L1PB2	antisense	L1	682	2701.1310	932.3440	5208.4016	1.8288	1.2743	1.5515	yes
L1PA3	antisense	L1	6717	31326.8228	10939.9669	51223.5567	1.5885	1.4498	1.5192	yes
L1ME3E	antisense	L1	1268	6141.4501	2167.9095	6204.0093	1.5389	1.4617	1.5003	yes
L1M6B	antisense	L1	189	580.9197	210.7404	1121.3838	1.2793	1.6765	1.4779	yes
L1ME2z	sense	L1	1751	8081.3031	2960.3292	5148.1696	1.4460	1.4510	1.4485	yes
L1MD3	antisense	L1	1575	5729.3019	2111.6830	8933.9653	1.5530	1.3328	1.4429	yes
L1PA8	antisense	L1	2022	9028.8554	3338.0262	21647.1203	1.4909	1.3802	1.4356	yes
L1M	antisense	L1	182	275.9693	105.9826	321.3321	1.8410	1.0152	1.4281	yes
L1ME3F	antisense	L1	1247	5023.8254	1868.3916	6080.1103	1.4024	1.4528	1.4276	yes
L1MB3	sense	L1	4659	32988.1352	12325.9037	20570.2268	1.4673	1.3742	1.4208	yes
L1M2	antisense	L1	2375	10514.0660	3961.0103	20944.1490	1.6268	1.2078	1.4173	yes
L1ME3C	antisense	L1	943	2530.0356	958.1516	3339.5673	1.5367	1.2738	1.4052	yes
L1M6	sense	L1	1253	10586.9208	4042.2586	5632.6176	1.6703	1.1368	1.4036	yes
L1MA10	antisense	L1	1051	5166.9175	1964.3809	4583.9598	1.5575	1.2378	1.3977	yes
L1ME3B	sense	L1	2301	21263.9736	8127.8769	10434.5056	1.4592	1.3149	1.3871	yes
L1MA8	antisense	L1	2508	10809.9281	4142.1176	13678.0432	1.4998	1.2670	1.3834	yes
L1ME1	antisense	L1	9453	41839.0805	16219.9232	58021.9753	1.5348	1.2068	1.3708	yes
L1MEg	antisense	L1	3832	13532.6273	5275.3747	18448.8739	1.4552	1.2635	1.3594	yes
L1MB1	antisense	L1	1367	7034.7171	2786.5997	9301.4114	1.5070	1.1636	1.3353	yes
L1ME3C	sense	L1	875	5139.5979	2073.7351	3480.9601	1.5884	1.0700	1.3292	yes
L1ME3A	antisense	L1	4432	20539.3098	8287.6365	25214.4648	1.3135	1.3048	1.3091	yes
L1MA2	antisense	L1	1982	11398.8537	4632.8578	22873.1266	1.4847	1.1220	1.3034	yes
L1M5	sense	L1	12717	95267.0978	39199.4897	44560.7044	1.3953	1.1697	1.2825	yes
L1ME4b	sense	L1	5711	28970.5943	11937.9109	17959.3300	1.3365	1.2225	1.2795	yes
L1MD2	antisense	L1	3008	14345.8578	5962.4168	18074.3644	1.4200	1.1184	1.2692	yes
L1MC4a	antisense	L1	3412	16614.8818	6967.2849	21373.0888	1.2971	1.2089	1.2530	yes
L1MC4	sense	L1	6832	57170.3445	24577.3467	28235.1470	1.2197	1.2161	1.2179	yes
