subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
AluYk2	sense	Alu	2574	2042	1743	2676	594	388
AluYk3	antisense	Alu	4501	3886	1365	1916	537	301
AluYk3	sense	Alu	4058	3559	3928	5634	1598	827
AluYk4	antisense	Alu	3537	3112	1000	1504	61	64
AluYk4	sense	Alu	2618	2081	2037	2858	685	299
AluYm1	antisense	Alu	19990	16377	5303	7570	717	408
AluYm1	sense	Alu	10708	8689	7954	11087	3709	1874
L1HS	antisense	L1	36084	29391	10758	14402	292	172
L1HS	sense	L1	24872	19371	33494	48281	335	215
L1M	antisense	L1	1448	1149	614	799	10	10
L1M	sense	L1	1526	1118	1237	1534	54	28
L1M1	antisense	L1	122319	102963	34408	42578	614	355
L1M1	sense	L1	113716	86208	129731	161082	2433	1404
L1M2	antisense	L1	91222	77446	23916	29751	456	327
L1M2	sense	L1	79684	60753	70717	84597	846	627
L1M2a	antisense	L1	11706	8488	2002	2887	160	112
L1M2a	sense	L1	3782	2400	2891	3603	16	12
L1M2a1	antisense	L1	1447	1105	405	576	6	4
L1M2a1	sense	L1	1082	758	3131	3751	11	12
L1M2b	antisense	L1	3264	2529	812	1088	5	4
L1M2b	sense	L1	4760	3082	696	844	0	1
L1M2c	antisense	L1	2704	2085	630	800	12	2
L1M2c	sense	L1	15466	10773	12131	14388	19	19
L1M3	antisense	L1	34515	31592	13985	17281	376	260
L1M3	sense	L1	29327	23178	25808	31715	2323	1184
L1M3a	antisense	L1	11516	9049	3620	4715	213	119
L1M3a	sense	L1	2907	2308	2123	2786	38	24
L1M3b	antisense	L1	6514	5041	935	1190	21	16
L1M3b	sense	L1	6070	4189	2005	2542	24	14
L1M3c	antisense	L1	4950	4097	1322	1693	11	22
L1M3c	sense	L1	7617	5763	4786	6180	22	13
L1M3d	antisense	L1	3707	2935	1090	1438	26	18
L1M3d	sense	L1	2473	1913	1603	1990	16	7
L1M3de	antisense	L1	3427	2948	605	833	7	6
L1M3de	sense	L1	4641	3402	3129	3538	16	20
L1M3e	antisense	L1	7523	5719	2032	2523	33	18
L1M3e	sense	L1	8171	5710	8112	9951	36	23
L1M3f	antisense	L1	9073	8355	1899	2321	51	27
L1M3f	sense	L1	5209	3737	4413	5895	16	23
L1M4	antisense	L1	127800	114644	45767	57897	2054	1020
L1M4	sense	L1	105452	82595	97966	124399	1652	1161
L1M4a1	antisense	L1	21722	20021	6943	8317	179	129
L1M4a1	sense	L1	17121	13832	22716	27156	93	73
L1M4a2	antisense	L1	11665	10415	3531	4387	82	22
L1M4a2	sense	L1	12432	9415	12817	16160	84	69
L1M4b	antisense	L1	34193	29369	12179	15330	4416	2495
L1M4b	sense	L1	29280	21937	28389	34801	784	537
L1M4c	antisense	L1	24264	21990	7732	9796	369	272
