subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1M3f	sense	L1	46	32.1488	13.5162	9.3472	4.9044	0.3748	2.6396	yes
L1PA5	antisense	L1	2272	16824.4228	2729.1485	40337.1170	2.7633	2.4982	2.6307	yes
L1MCc	antisense	L1	523	2547.2738	428.2389	6323.2813	2.4264	2.7425	2.5844	yes
L1PB4	antisense	L1	1017	4721.2046	823.5947	8656.5786	2.8603	2.2322	2.5463	yes
L1MA5A	antisense	L1	563	2975.2824	519.6318	5266.1683	2.3376	2.7323	2.5349	yes
L1M3e	antisense	L1	109	749.2356	130.8680	1457.6377	2.3153	2.7438	2.5295	yes
L1MA4	antisense	L1	1528	10797.6531	1897.1024	16258.4329	2.6998	2.3289	2.5144	yes
AluYi6	antisense	Alu	74	51.8020	40.5486	154.0751	5.9869	-0.9607	2.5131	NO
AluYe6	antisense	Alu	37	37.8108	23.0410	93.2383	-0.2388	5.2373	2.4993	NO
L1PA10	antisense	L1	968	5449.3321	981.4951	15002.4874	2.7502	2.2359	2.4930	yes
L1M3f	antisense	L1	129	583.7507	105.8313	1874.8414	2.1987	2.7843	2.4915	yes
L1PA3	antisense	L1	2443	20188.3422	3657.5010	35084.0982	2.6163	2.3271	2.4717	yes
L1PA17	antisense	L1	757	6437.5313	1163.2074	13324.4902	2.6016	2.3393	2.4705	yes
L1MA4A	antisense	L1	1010	6938.6030	1265.8183	14304.1654	2.4362	2.4726	2.4544	yes
L1MC2	antisense	L1	1168	7686.9944	1435.0731	9435.9559	2.7092	2.1619	2.4355	yes
L1PB3	sense	L1	242	842.4814	184.1617	1035.4801	3.3886	1.4748	2.4317	yes
L1PA12	sense	L1	108	160.4383	37.4794	181.8483	1.4348	3.4078	2.4213	yes
L1M2	antisense	L1	1347	6624.8555	1260.7386	14952.8794	2.6481	2.1683	2.4082	yes
L1MEh	antisense	L1	345	2082.8450	391.8330	2632.3600	2.4541	2.3589	2.4065	yes
L1PBb	antisense	L1	34	140.6904	44.3887	475.4907	4.1266	0.6825	2.4045	yes
L1PA11	antisense	L1	670	5429.0759	1038.7950	12848.7895	2.4020	2.3672	2.3846	yes
L1MEg2	sense	L1	52	42.1395	33.7905	2.6107	5.4285	-0.6664	2.3811	NO
L1PA15	antisense	L1	1199	8945.5041	1741.3490	19298.0818	2.6138	2.1388	2.3763	yes
L1M3b	antisense	L1	71	338.7146	64.5118	1328.0741	2.4364	2.3158	2.3761	yes
L1MA4A	sense	L1	471	1459.5018	286.7726	694.6328	2.2361	2.4773	2.3567	yes
L1M1	antisense	L1	1316	10078.4815	2024.4327	20059.6320	2.5734	2.0817	2.3275	yes
L1MA9	antisense	L1	2009	10605.6762	2141.3308	13664.2579	2.4002	2.2159	2.3080	yes
L1MEg	antisense	L1	2291	10464.6275	2127.0436	15352.5993	2.4282	2.1722	2.3002	yes
L1P5	antisense	L1	69	146.1670	28.8768	225.6559	2.0834	2.5120	2.2977	yes
L1MEb	sense	L1	124	147.4128	37.4794	43.0396	1.4114	3.1708	2.2911	yes
L1PA3	sense	L1	1994	6782.9660	1402.3561	1751.7806	2.4589	2.1210	2.2899	yes
L1MCa	antisense	L1	1089	5879.7977	1214.5054	9485.9551	2.5635	2.0139	2.2887	yes
L1M6	antisense	L1	734	2769.8500	574.9212	3138.8594	2.4723	2.0749	2.2736	yes
L1ME3E	antisense	L1	806	4476.4535	941.1125	4862.0971	2.0977	2.4367	2.2672	yes
L1MC1	antisense	L1	2285	15859.5110	3312.5210	24643.9624	2.4165	2.1089	2.2627	yes
L1M8	antisense	L1	273	916.6238	210.5891	1960.6849	1.6333	2.8801	2.2567	yes
L1M3d	sense	L1	25	31.8056	23.0410	6.7572	-0.6527	5.1563	2.2518	NO
L1PA16	antisense	L1	2016	12269.5801	2611.0405	27113.3548	2.3018	2.1607	2.2313	yes
L1MB1	antisense	L1	768	4696.5471	1005.9268	6586.2567	2.2333	2.2094	2.2214	yes
L1MCa	sense	L1	448	1307.4027	292.9110	460.4235	2.7224	1.7102	2.2163	yes
L1M4a2	antisense	L1	385	1344.0215	325.9452	2413.2074	1.5454	2.8760	2.2107	yes
AluYh9	antisense	Alu	16	24.8563	15.3606	92.7395	-0.3451	4.7409	2.1979	NO
L1PA2	antisense	L1	1099	8310.5790	1825.8326	15298.1563	2.3194	2.0653	2.1924	yes
L1MCb	sense	L1	100	441.8986	97.2288	164.9053	2.1467	2.1998	2.1732	yes
L1M3de	antisense	L1	66	252.0419	56.8314	736.7777	2.3650	1.9421	2.1536	yes
L1MA10	antisense	L1	594	3822.0163	861.6939	3442.7852	2.2209	2.0739	2.1474	yes
L1MEf	antisense	L1	2144	11092.7800	2517.0321	18887.6588	2.2720	2.0115	2.1417	yes
L1MEi	antisense	L1	665	2046.1935	489.5154	3312.8464	2.6236	1.6597	2.1416	yes
L1MA8	antisense	L1	1389	7293.6657	1654.1136	8779.1134	2.2525	2.0251	2.1388	yes
L1MDa	sense	L1	461	1201.8888	274.4812	783.8788	2.3683	1.9091	2.1387	yes
L1PA6	sense	L1	824	2126.2161	483.3771	619.7419	2.2025	2.0722	2.1374	yes
L1M3a	sense	L1	58	37.2881	38.4016	24.2126	-0.9152	5.1424	2.1136	NO
L1M6	sense	L1	268	559.5800	135.6304	154.3086	1.7315	2.4741	2.1028	yes
L1MA5	antisense	L1	759	4130.0884	975.6592	6602.2221	2.3514	1.8416	2.0965	yes
L1MD2	antisense	L1	1822	11291.4784	2645.1334	14627.7806	2.2532	1.9378	2.0955	yes
L1ME3F	antisense	L1	779	3619.7962	852.7888	4470.2467	2.0232	2.1531	2.0881	yes
L1PB1	sense	L1	892	2977.9630	699.9533	1329.9288	2.1291	2.0465	2.0878	yes
L1MA3	antisense	L1	1466	11141.4425	2662.8070	21119.8154	2.0899	2.0379	2.0639	yes
L1MDa	antisense	L1	1068	4372.7230	1053.8532	10010.8401	1.8956	2.2272	2.0614	yes
L1HS	sense	L1	337	3175.0403	761.5472	1008.2200	1.9927	2.1197	2.0562	yes
L1MC4a	antisense	L1	2152	12870.0229	3095.3398	17198.5217	2.1267	1.9833	2.0550	yes
L1P4	sense	L1	172	252.0083	78.7989	86.5218	1.0784	3.0251	2.0517	yes
L1P2	sense	L1	186	419.8351	101.0689	150.5695	1.9331	2.1598	2.0464	yes
L1ME1	antisense	L1	5953	33147.9784	8045.2378	47239.2697	2.1300	1.9548	2.0424	yes
L1ME3D	antisense	L1	725	3411.1738	832.5145	4323.3806	1.9388	2.1427	2.0407	yes
L1PBa1	antisense	L1	78	389.0605	157.2806	1618.0256	3.5266	0.5414	2.0340	yes
L1MC2	sense	L1	495	1059.4784	276.0231	447.6170	1.5996	2.4675	2.0336	yes
L1ME5	antisense	L1	433	1510.4440	385.3773	2856.9947	2.4282	1.6097	2.0189	yes
L1M3	antisense	L1	983	4021.6672	1016.2078	6259.0981	2.2916	1.7247	2.0082	yes
L1MD3	antisense	L1	944	3817.4288	954.0090	6500.6544	1.9781	2.0214	1.9997	yes
L1MA6	antisense	L1	814	4125.0692	1081.0220	5661.4189	2.4528	1.5203	1.9866	yes
AluYh7	antisense	Alu	22	24.4277	19.2008	53.0263	-0.9784	4.9476	1.9846	NO
L1PA8	antisense	L1	1065	7336.8451	1855.1779	18119.0078	1.9980	1.9678	1.9829	yes
L1PA4	sense	L1	1809	3776.6493	975.8105	1195.8939	2.2322	1.7306	1.9814	yes
L1MD	antisense	L1	1399	5196.3746	1359.3433	5978.1088	2.3901	1.5630	1.9765	yes
L1PA16	sense	L1	962	1775.8321	483.8456	664.2832	1.5765	2.3029	1.9397	yes
L1MEj	antisense	L1	280	978.4704	260.0427	1339.2906	2.1863	1.6566	1.9215	yes
L1PA13	sense	L1	568	790.7295	209.8182	434.7806	1.7620	2.0697	1.9159	yes
L1M4a1	antisense	L1	444	2087.6116	572.1545	3866.9147	2.1875	1.5907	1.8891	yes
L1PB2	antisense	L1	379	1969.1951	540.3598	3682.5823	2.1801	1.5912	1.8857	yes
L1MEc	antisense	L1	3436	18421.4310	5023.4512	30639.4959	2.1370	1.6337	1.8854	yes
L1M6B	antisense	L1	119	313.4979	85.7083	686.0557	2.1132	1.6125	1.8629	yes
L1MCc	sense	L1	244	444.0412	122.2654	221.9305	1.9581	1.7366	1.8474	yes
L1MEd	antisense	L1	3264	11161.8613	3102.8689	17545.1882	1.8752	1.8172	1.8462	yes
