level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	AluYi6	Alu	443	440	437.08	1.0068	0.088636	0.41359	-0.024431	0.02957	0.063195	0.017348	-0.44622	0.047217	-0.11976	0.036279	-0.15024	0.024415	0.018941	0.021815	-0.04011	0.016938	0.015385	0.012208	-0.29598	0.066203	-0.1387	0.051858
subfamily	AluYi6_4d	Alu	151	148	145.23	1.0203	0.10811	0.41685	-0.00040133	0.050838	0.061061	0.029176	-0.42084	0.084157	-0.038041	0.060868	-0.15462	0.039584	-0.0084846	0.032356	-0.028038	0.028332	0.0062752	0.017964	-0.26622	0.11636	-0.029556	0.083648
subfamily	AluYj4	Alu	3441	3181	1975.1	1.0817	0.083622	0.42084	0.046188	0.012527	0.069306	0.0092469	-0.58524	0.023039	-0.17592	0.019049	-0.041482	0.022279	0.094333	0.020774	0.038454	0.012576	0.059464	0.010742	-0.54376	0.042792	-0.27025	0.036939
subfamily	AluYk11	Alu	1264	1236	1208.5	1.0227	0.087379	0.42929	0.19027	0.018567	0.13868	0.01095	-0.75726	0.02684	-0.2389	0.021321	-0.040212	0.014716	0.053232	0.012938	0.066082	0.0098082	0.043819	0.0068224	-0.71705	0.038473	-0.29213	0.030599
subfamily	AluYk12	Alu	208	202	196.65	1.0297	0.094059	0.41486	0.035603	0.047481	0.11297	0.026638	-0.52516	0.071191	-0.17836	0.049722	-0.079486	0.036056	0.082322	0.030423	0.0018417	0.024514	0.049972	0.015744	-0.44568	0.10119	-0.26068	0.072642
subfamily	AluYk2	Alu	786	769	751.58	1.0221	0.078023	0.42308	0.074241	0.023615	0.075857	0.012857	-0.55796	0.035347	-0.12232	0.026745	-0.10015	0.01759	0.024906	0.015555	0.017566	0.012081	0.027639	0.0082069	-0.4578	0.049007	-0.14723	0.037656
subfamily	AluYk3	Alu	1149	1130	1112.2	1.0168	0.083186	0.41813	0.032343	0.019472	0.07906	0.011233	-0.49415	0.029901	-0.1155	0.021964	-0.11207	0.014689	0.035895	0.012756	-0.0071087	0.01038	0.026403	0.0068131	-0.38208	0.041483	-0.1514	0.030977
subfamily	AluYk4	Alu	1008	995	980.76	1.0131	0.092462	0.41429	-0.013324	0.019684	0.067092	0.010993	-0.43988	0.031526	-0.10369	0.023614	-0.15313	0.016088	0.012318	0.014048	-0.043785	0.011216	0.0078639	0.0076297	-0.28675	0.044551	-0.11601	0.034048
subfamily	AluYm1	Alu	4737	4519	4314.4	1.0482	0.080991	0.41867	0.047861	0.0099012	0.089384	0.0055385	-0.53007	0.015542	-0.14534	0.012089	-0.09738	0.0080597	0.048371	0.0073023	0.0056319	0.005397	0.036876	0.0038763	-0.43269	0.022138	-0.19371	0.017788
subfamily	L1HS	L1	1547	1285	1134.8	1.2039	0.094942	0.38535	-0.38661	0.0095506	-0.048487	0.0068024	0.10709	0.023879	0.090825	0.021741	-0.22918	0.016231	0.073135	0.015459	-0.17677	0.0094957	0.015558	0.0082275	0.33627	0.037603	0.01769	0.034511
subfamily	L1M	L1	730	665	612.53	1.0977	0.084211	0.40723	-0.078937	0.025257	0.061252	0.01533	-0.36744	0.040229	-0.11893	0.03302	-0.19362	0.019692	0.0060648	0.018131	-0.070154	0.013603	0.016283	0.0099704	-0.17382	0.055724	-0.12499	0.046491
subfamily	L1M1	L1	9425	4839	3170.1	1.9477	0.1645	0.38446	-0.33334	0.0087439	0.0069786	0.0057236	-0.053489	0.017803	-0.083676	0.014617	-0.23724	0.0097628	0.071713	0.0090913	-0.1788	0.0060943	0.020097	0.0048512	0.18375	0.025804	-0.15539	0.021854
subfamily	L1M2	L1	9196	5500	3633.8	1.672	0.091818	0.38863	-0.26926	0.0083049	0.033419	0.005593	-0.15606	0.016941	-0.13313	0.014172	-0.19676	0.0092189	0.092439	0.0085272	-0.14009	0.0057225	0.038335	0.004441	0.040707	0.024436	-0.22557	0.020839
subfamily	L1M2a	L1	451	222	144.98	2.0315	0.12162	0.38973	-0.25574	0.043396	0.042277	0.029324	-0.1784	0.076678	-0.1343	0.067105	-0.20528	0.040826	0.073966	0.042829	-0.13852	0.025082	0.031017	0.021464	0.026879	0.10955	-0.20826	0.1032
subfamily	L1M2a1	L1	109	71	50.557	1.5352	0.11268	0.39421	-0.25213	0.066842	0.0046997	0.041467	-0.139	0.13105	-0.053838	0.10112	-0.22456	0.079673	0.037115	0.075176	-0.16445	0.045862	-0.015367	0.037076	0.085557	0.19355	-0.090953	0.16014
subfamily	L1M2b	L1	196	126	87.708	1.5556	0.13492	0.3898	-0.3767	0.048099	-0.078976	0.027165	-0.079466	0.094666	-0.046234	0.077934	-0.14693	0.056547	0.1351	0.053549	-0.15679	0.034701	0.014369	0.028369	0.06746	0.14329	-0.18133	0.124
subfamily	L1M2c	L1	388	202	132.99	1.9208	0.089109	0.39038	-0.27425	0.040222	0.022309	0.026601	-0.29148	0.094967	-0.2411	0.078265	-0.15669	0.049643	0.12053	0.045766	-0.11478	0.029589	0.051183	0.023768	-0.13479	0.13765	-0.36162	0.11662
subfamily	L1M3	L1	6691	4339	3091.6	1.5421	0.086886	0.39878	-0.12951	0.011441	0.082421	0.0064673	-0.36687	0.019572	-0.22034	0.014605	-0.13199	0.01065	0.10917	0.0096436	-0.074048	0.0070381	0.055219	0.005275	-0.23488	0.028388	-0.32951	0.022272
