level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1M3f	L1	676	310	195.12	2.1806	0.093548	0.38819	-0.27192	0.033076	0.047602	0.020582	-0.13413	0.071298	-0.12526	0.056057	-0.27363	0.044774	0.018568	0.038629	-0.168	0.028392	0.014281	0.021173	0.1395	0.11055	-0.14382	0.087744
subfamily	L1M4	L1	20663	10157	6353.1	2.0344	0.0828	0.40541	-0.030725	0.0084102	0.1217	0.0049567	-0.52142	0.012618	-0.29691	0.0097609	-0.10884	0.0065698	0.099905	0.0059602	-0.036617	0.0043693	0.058927	0.0031454	-0.41258	0.017808	-0.39682	0.014182
subfamily	L1M4a1	L1	2530	1334	886.31	1.8966	0.10345	0.3912	-0.18457	0.021382	0.094619	0.012262	-0.25575	0.033389	-0.21227	0.024564	-0.21782	0.016684	0.062932	0.014802	-0.12815	0.011164	0.041027	0.0078101	-0.037934	0.045925	-0.2752	0.034456
subfamily	L1M4a2	L1	2041	1147	731.72	1.7794	0.086312	0.39035	-0.15714	0.022287	0.12818	0.014482	-0.33017	0.038761	-0.28714	0.029855	-0.21428	0.016873	0.067412	0.014869	-0.12258	0.011826	0.047765	0.0083193	-0.11589	0.051606	-0.35455	0.03988
subfamily	L1M4b	L1	4282	1613	1014.7	2.6547	0.10725	0.39052	-0.21058	0.017401	0.065886	0.011747	-0.27157	0.030831	-0.22265	0.02569	-0.16539	0.015815	0.11338	0.014426	-0.1117	0.01093	0.055551	0.0080832	-0.10618	0.04373	-0.33602	0.036879
subfamily	L1M4c	L1	3415	1278	824.24	2.6721	0.08529	0.39114	-0.14771	0.020484	0.1293	0.013605	-0.52309	0.036687	-0.46741	0.03132	-0.075939	0.020367	0.19997	0.020282	-0.056084	0.011985	0.1085	0.010495	-0.44715	0.052613	-0.66738	0.047454
subfamily	L1M5	L1	54255	30509	20714	1.7783	0.088072	0.40081	-0.11788	0.0040603	0.073435	0.0023692	-0.33329	0.0068304	-0.16074	0.0051834	-0.19145	0.0034127	0.038522	0.0029794	-0.090058	0.002315	0.027296	0.0015942	-0.14184	0.0095444	-0.19927	0.0073289
subfamily	L1M6	L1	5619	3016	2083.6	1.8631	0.1061	0.3892	-0.28777	0.009424	0.0072274	0.0059568	-0.04299	0.019442	-0.0077161	0.015125	-0.28313	0.0095452	0.00010042	0.0081837	-0.17754	0.0064193	-0.0050868	0.0044981	0.24014	0.027005	-0.0078165	0.020886
subfamily	L1M6B	L1	627	498	351.95	1.259	0.13052	0.39993	-0.16245	0.022005	0.037898	0.015087	-0.28976	0.046104	-0.1055	0.036708	-0.2024	0.022167	0.023213	0.01945	-0.10443	0.014408	0.0096081	0.010142	-0.087358	0.06397	-0.12871	0.050988
subfamily	L1M7	L1	3240	1656	1136.3	1.9565	0.095411	0.39121	-0.23529	0.01393	0.039679	0.0091356	-0.15976	0.027285	-0.095629	0.021989	-0.24614	0.014022	0.026204	0.01247	-0.14478	0.0091137	0.01646	0.0068382	0.086378	0.038557	-0.12183	0.03127
