level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	AluYe6	Alu	192	190	188.08	1.0105	0.10526	0.42741	0.17427	0.052234	0.096176	0.031889	-0.65836	0.07581	-0.13873	0.051728	-0.11715	0.031732	0.031401	0.028512	0.013774	0.024906	0.019701	0.019122	-0.54121	0.10087	-0.17013	0.075599
subfamily	AluYf1	Alu	1835	1789	1742	1.0257	0.077138	0.42385	0.1105	0.016375	0.080982	0.010333	-0.57095	0.023865	-0.12584	0.018137	-0.10349	0.011714	0.068601	0.011125	0.012449	0.0082689	0.041934	0.0068985	-0.46745	0.033324	-0.19444	0.027736
subfamily	AluYg6	Alu	834	812	778.03	1.0271	0.080049	0.41388	-0.015567	0.021982	0.0015467	0.014529	-0.40873	0.034256	-0.02042	0.025456	-0.17155	0.015981	0.010104	0.015062	-0.044185	0.011626	0.0018644	0.009739	-0.23718	0.04665	-0.030525	0.038122
subfamily	AluYh3	Alu	2577	2508	2442.4	1.0275	0.084928	0.41729	0.036334	0.013858	0.030573	0.0084297	-0.45337	0.020233	-0.051199	0.01469	-0.14927	0.0093743	0.029672	0.0089316	-0.026078	0.0068713	0.014217	0.0055871	-0.3041	0.027716	-0.080871	0.022242
subfamily	AluYh3a3	Alu	321	308	295.25	1.0422	0.081169	0.43254	0.27337	0.041668	0.14132	0.026273	-0.75254	0.056594	-0.17393	0.040764	-0.059962	0.02584	0.091725	0.024857	0.0702	0.019027	0.062206	0.015466	-0.69258	0.07734	-0.26565	0.061831
subfamily	AluYh7	Alu	156	142	94.326	1.0986	0.070423	0.42998	0.22955	0.10129	0.16697	0.064166	-0.71358	0.0894	-0.22355	0.069754	-0.013817	0.048751	0.14378	0.046069	0.088367	0.037794	0.1028	0.030945	-0.69976	0.12703	-0.36732	0.11153
subfamily	AluYh9	Alu	133	116	88.005	1.1466	0.10345	0.42471	0.083119	0.077855	0.1184	0.04011	-0.71665	0.10893	-0.30744	0.09053	0.06836	0.076518	0.2043	0.063772	0.11742	0.049571	0.1471	0.043666	-0.78501	0.17216	-0.51174	0.15049
subfamily	AluYi6	Alu	437	434	431.08	1.0069	0.089862	0.41352	-0.023322	0.029649	0.0018547	0.019367	-0.43835	0.047758	-0.069054	0.036938	-0.15803	0.024432	0.026283	0.022594	-0.043619	0.017028	0.0073768	0.014907	-0.28032	0.066781	-0.095338	0.056394
subfamily	AluYi6_4d	Alu	149	146	143.23	1.0205	0.10274	0.41713	0.0011722	0.05151	0.035613	0.029485	-0.42656	0.085099	-0.091162	0.058099	-0.15202	0.039997	0.042066	0.037803	-0.026143	0.02865	0.033734	0.023271	-0.27453	0.1176	-0.13323	0.089844
subfamily	AluYj4	Alu	3367	3109	1916.6	1.083	0.082342	0.42087	0.047269	0.012703	0.059507	0.0090272	-0.57006	0.023544	-0.16266	0.024885	-0.057247	0.022804	0.10562	0.018768	0.030989	0.012872	0.067168	0.012651	-0.51282	0.04379	-0.26828	0.042931
