level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1MEg1	L1	863	426	274.72	2.0258	0.10329	0.38194	-0.32628	0.029084	0.025638	0.014065	0.021046	0.058175	-0.049596	0.036661	-0.3251	0.024016	0.010365	0.019799	-0.22815	0.016836	-0.0092558	0.011564	0.34614	0.07526	-0.059961	0.051952
subfamily	L1MEg2	L1	711	368	249.89	1.9321	0.084239	0.38299	-0.32829	0.030682	0.045585	0.014981	-0.008059	0.063074	-0.15189	0.042889	-0.24661	0.029565	0.080805	0.027362	-0.18675	0.021158	0.038674	0.015462	0.23855	0.086585	-0.2327	0.065967
subfamily	L1MEh	L1	2719	1520	1096.4	1.7888	0.088816	0.39657	-0.18778	0.016516	0.04793	0.008872	-0.20213	0.029534	-0.099642	0.020146	-0.23563	0.01412	0.032214	0.012098	-0.12832	0.0095959	0.019188	0.0066557	0.033503	0.040684	-0.13186	0.030035
subfamily	L1MEi	L1	5076	2754	1864.9	1.8431	0.11038	0.39316	-0.22924	0.010504	0.027659	0.0059676	-0.16486	0.020304	-0.074667	0.014133	-0.28304	0.0093195	0.0067549	0.0078036	-0.15642	0.0064976	0.0060736	0.0044353	0.11818	0.027477	-0.081422	0.020318
subfamily	L1MEj	L1	2255	1265	914.74	1.7826	0.0917	0.3919	-0.24725	0.015877	0.022951	0.0080369	-0.071091	0.02967	-0.018194	0.019654	-0.28814	0.014706	0.0077677	0.012075	-0.17302	0.0097565	-0.0010365	0.0065383	0.21705	0.040719	-0.025962	0.028914
subfamily	L1P	L1	143	132	122.45	1.0833	0.11364	0.391	-0.31151	0.04951	-0.023165	0.022325	0.042071	0.078352	0.026939	0.046623	-0.2977	0.041179	-0.011165	0.035318	-0.18077	0.029059	-0.0055961	0.019827	0.33977	0.11207	0.038105	0.076661
subfamily	L1P1	L1	2970	2631	2364.9	1.1288	0.096161	0.38286	-0.39117	0.0074503	-0.0017304	0.0047279	0.080506	0.01798	-0.062284	0.014773	-0.23909	0.011186	0.070245	0.0099503	-0.19068	0.0066645	0.024739	0.0054022	0.3196	0.027405	-0.13253	0.023584
subfamily	L1P2	L1	1495	1196	1015.5	1.25	0.10117	0.38591	-0.361	0.011469	0.0049336	0.0076621	0.013589	0.02934	-0.082689	0.023485	-0.22344	0.01768	0.072685	0.015492	-0.18443	0.01048	0.014626	0.0081086	0.23703	0.044607	-0.15537	0.037188
subfamily	L1P3	L1	3296	2614	2149.5	1.2609	0.10406	0.38298	-0.39083	0.008835	-0.0051333	0.0055862	0.078599	0.021535	-0.063198	0.01773	-0.26784	0.012104	0.048503	0.010524	-0.20569	0.007329	0.012333	0.0057177	0.34644	0.032072	-0.1117	0.027061
subfamily	L1P3b	L1	84	63	49.69	1.3333	0.12698	0.38496	-0.34231	0.068105	0.023114	0.034416	0.020316	0.18218	-0.092772	0.11446	-0.28245	0.063205	0.0038671	0.0537	-0.21312	0.043333	-0.013627	0.027073	0.30276	0.23345	-0.096639	0.15956
subfamily	L1P4	L1	3504	2578	1984.2	1.3592	0.091156	0.3813	-0.34748	0.011136	0.032479	0.006653	0.015778	0.023023	-0.11621	0.017249	-0.2504	0.012537	0.075632	0.010768	-0.19294	0.0078412	0.030458	0.0058629	0.26618	0.033441	-0.19184	0.026722
subfamily	L1P4a	L1	531	278	198.98	1.9101	0.1259	0.37858	-0.44126	0.03622	-0.021266	0.018433	0.12909	0.071665	-0.095351	0.0512	-0.25182	0.03919	0.079807	0.035379	-0.22613	0.02515	0.015229	0.019364	0.38091	0.10408	-0.17516	0.082407
subfamily	L1P4b	L1	132	89	70.258	1.4831	0.20225	0.39022	-0.38215	0.062062	-0.039433	0.021165	0.065472	0.13187	-0.035675	0.092225	-0.18211	0.087578	0.064448	0.076441	-0.17832	0.050662	-0.0063379	0.040456	0.24758	0.20963	-0.10012	0.16332
subfamily	L1P4d	L1	153	86	63.097	1.7791	0.13953	0.38708	-0.4101	0.038657	-0.035071	0.026168	0.016648	0.12199	-0.13607	0.10966	-0.15062	0.091361	0.13317	0.076776	-0.18267	0.050468	0.016687	0.041536	0.16726	0.20455	-0.26924	0.18316
subfamily	L1P4e	L1	204	129	96.333	1.5814	0.17829	0.37756	-0.43252	0.032691	0.0089325	0.022722	0.17155	0.10203	-0.085269	0.092706	-0.25556	0.063442	0.082565	0.061198	-0.23179	0.037881	0.016457	0.036269	0.4271	0.1566	-0.16783	0.14878
subfamily	L1P5	L1	607	508	430.93	1.1949	0.084646	0.39158	-0.25476	0.023987	0.034589	0.012727	-0.14623	0.048308	-0.12457	0.035493	-0.19986	0.027588	0.083778	0.023273	-0.13074	0.017811	0.041927	0.012209	0.05363	0.071391	-0.20835	0.055636
subfamily	L1PA10	L1	6854	5070	3917.4	1.3519	0.087574	0.38968	-0.32028	0.0067601	0.0026479	0.0041247	0.0024109	0.015209	-0.034085	0.011806	-0.2581	0.0079244	0.026789	0.0070743	-0.17954	0.0048219	0.0019343	0.0037248	0.26051	0.021791	-0.060874	0.017993
subfamily	L1PA11	L1	4008	2973	2324.1	1.3481	0.093172	0.38834	-0.33337	0.0081354	-0.010152	0.0051185	0.010567	0.018478	-0.025329	0.01425	-0.28479	0.0098377	0.017934	0.009023	-0.19123	0.0061429	-0.0011284	0.0049306	0.29535	0.026365	-0.043262	0.021922
subfamily	L1PA12	L1	1653	1144	719.62	1.4449	0.12238	0.38951	-0.34374	0.017017	-0.0069319	0.0089931	-0.017275	0.043544	-0.0646	0.028566	-0.20749	0.025737	0.064441	0.019376	-0.16669	0.015501	0.011795	0.0097602	0.19021	0.066667	-0.12904	0.045953
subfamily	L1PA13	L1	8625	6095	4599.7	1.4151	0.10763	0.3819	-0.385	0.0060307	0.002357	0.0036116	0.11064	0.013054	-0.031449	0.0099199	-0.30061	0.0070221	0.024959	0.006396	-0.22302	0.004407	0.00051929	0.0034719	0.41125	0.018649	-0.056407	0.01537
subfamily	L1PA14	L1	2947	2093	1566.8	1.408	0.10416	0.38596	-0.34494	0.010975	-0.00073983	0.0064691	0.047736	0.022604	-0.023266	0.016681	-0.30749	0.011887	0.0055976	0.01045	-0.20844	0.0077435	-0.0055526	0.0057737	0.35523	0.032285	-0.028863	0.02573
subfamily	L1PA15	L1	8060	5218	3806.6	1.5447	0.11441	0.38314	-0.37052	0.0061027	0.0018373	0.0037358	0.091178	0.013861	-0.029382	0.011089	-0.29	0.0076174	0.031355	0.0069389	-0.21059	0.0048104	0.0060509	0.0038792	0.38118	0.020036	-0.060737	0.017071
subfamily	L1PA15-16	L1	1309	629	440.82	2.0811	0.1097	0.38134	-0.43822	0.020574	-0.032815	0.01082	0.11001	0.047367	-0.074815	0.032443	-0.22608	0.029394	0.088439	0.023582	-0.20845	0.018699	0.016671	0.013353	0.33609	0.073153	-0.16325	0.053783
subfamily	L1PA16	L1	13513	8703	6303.8	1.5527	0.086637	0.38372	-0.37044	0.0049028	-0.0087534	0.0028685	0.074839	0.011146	-0.019711	0.0085122	-0.28454	0.006641	0.033412	0.0057351	-0.20035	0.0041736	0.01115	0.0031723	0.35938	0.016652	-0.053123	0.013494
subfamily	L1PA17	L1	4632	3208	2245.7	1.4439	0.081983	0.3915	-0.2813	0.01009	-0.00054057	0.0053953	-0.11127	0.021275	-0.074556	0.016419	-0.22552	0.011613	0.057989	0.010261	-0.14457	0.0072735	0.024684	0.0054836	0.11425	0.031049	-0.13255	0.025603
subfamily	L1PA2	L1	4645	3837	3378.1	1.2106	0.088872	0.38401	-0.38761	0.0057298	-0.0057501	0.0035452	0.11999	0.013638	-0.011178	0.010993	-0.25451	0.0085056	0.051814	0.0075843	-0.19392	0.0052191	0.016427	0.0042176	0.3745	0.020644	-0.062992	0.017618
subfamily	L1PA3	L1	10198	8183	6999.5	1.2462	0.096297	0.38295	-0.38134	0.0042141	0.0025937	0.0026977	0.096901	0.0099082	-0.040879	0.0081023	-0.25289	0.0060047	0.063489	0.0053756	-0.19599	0.0036309	0.021105	0.0029512	0.34979	0.014829	-0.10437	0.012821
subfamily	L1PA4	L1	11329	9235	7948.6	1.2267	0.092799	0.38453	-0.37248	0.0041152	0.0011106	0.0025816	0.050061	0.0096964	-0.068025	0.007847	-0.2368	0.0058797	0.067725	0.0052528	-0.18607	0.0035335	0.021811	0.0028394	0.28687	0.014596	-0.13575	0.012473
subfamily	L1PA5	L1	10929	8937	7589	1.2229	0.080676	0.38734	-0.34029	0.0045118	-0.0058444	0.0027531	0.049951	0.0097542	0.00050604	0.0074446	-0.28709	0.0052259	0.014112	0.0046726	-0.19636	0.0033655	-0.002801	0.0025834	0.33705	0.013931	-0.013606	0.011397
subfamily	L1PA6	L1	5742	4677	3930.7	1.2277	0.080393	0.39092	-0.30752	0.0063999	-0.0045603	0.0039255	-0.049205	0.014396	-0.030991	0.011494	-0.24985	0.008088	0.035401	0.0071413	-0.16294	0.0050143	0.0096453	0.0039424	0.20064	0.021023	-0.066393	0.017687
subfamily	L1PA7	L1	12674	9470	7710	1.3383	0.088596	0.38273	-0.40091	0.0038263	-0.017692	0.0025067	0.1406	0.0092058	0.012811	0.0073468	-0.3121	0.0053427	0.010442	0.0047629	-0.22375	0.0032421	-0.0052136	0.0025363	0.4527	0.013485	0.0023699	0.011412
subfamily	L1PA8	L1	7669	6146	4878	1.2478	0.087537	0.39144	-0.30878	0.0060301	-0.0031437	0.003696	-0.0087952	0.012583	-0.015728	0.0095836	-0.25876	0.0066731	0.018459	0.0060944	-0.172	0.004241	0.00034823	0.0032429	0.24997	0.017992	-0.034186	0.014758
subfamily	L1PA8A	L1	2373	1676	1259.5	1.4159	0.096659	0.38451	-0.38452	0.012184	-0.014162	0.0073205	0.15153	0.024408	0.028106	0.019151	-0.32519	0.012807	-0.016895	0.011398	-0.2328	0.0081549	-0.024099	0.0061817	0.47672	0.035055	0.045001	0.028946
subfamily	L1PB	L1	1590	1219	998.46	1.3043	0.11567	0.38487	-0.3353	0.014048	0.014968	0.0079781	-0.015632	0.028843	-0.092772	0.021021	-0.26902	0.01594	0.039454	0.013557	-0.19127	0.010324	0.012659	0.007663	0.25338	0.041645	-0.13223	0.032599
subfamily	L1PB1	L1	12748	7105	5119.8	1.7942	0.091344	0.3892	-0.30884	0.0057441	0.0082838	0.0034582	-0.019833	0.012163	-0.038742	0.0093978	-0.27614	0.0062807	0.020863	0.0056133	-0.17792	0.0040198	0.006659	0.0030718	0.25631	0.017146	-0.059606	0.01407
subfamily	L1PB2	L1	2753	1844	1328	1.493	0.10087	0.39246	-0.27184	0.012304	0.0041108	0.0069301	-0.086827	0.025198	-0.051563	0.019295	-0.25394	0.01311	0.028684	0.011498	-0.1597	0.0083596	0.0067698	0.0061298	0.16711	0.035722	-0.080247	0.029004
subfamily	L1PB3	L1	3443	2176	1560.8	1.5823	0.10202	0.38893	-0.29444	0.011676	0.022111	0.0071056	-0.07613	0.023793	-0.092082	0.018927	-0.25151	0.012295	0.04257	0.01156	-0.15974	0.007636	0.023865	0.0063204	0.17538	0.033665	-0.13465	0.028986
subfamily	L1PB4	L1	7259	4986	3591.6	1.4559	0.087645	0.38753	-0.31545	0.0075688	0.011196	0.0042007	-0.022995	0.01566	-0.06697	0.01177	-0.25184	0.0087645	0.050789	0.007527	-0.17037	0.0055133	0.023236	0.0039895	0.22884	0.022981	-0.11776	0.018277
subfamily	L1PBa	L1	2082	1090	804.81	1.9101	0.1367	0.386	-0.37265	0.015033	-0.010965	0.009725	0.038447	0.033065	-0.053622	0.026778	-0.26719	0.018077	0.028617	0.016383	-0.19339	0.010952	0.0042231	0.0088544	0.30564	0.047816	-0.082239	0.041065
subfamily	L1PBa1	L1	475	315	244.45	1.5079	0.12381	0.39374	-0.33303	0.026187	-0.044182	0.016693	-0.029867	0.055841	-0.005885	0.045478	-0.26454	0.030917	0.011326	0.028653	-0.17031	0.018067	-0.0086403	0.014395	0.23468	0.081283	-0.017211	0.070015
subfamily	L1PBb	L1	290	150	106.73	1.9333	0.16	0.39204	-0.35007	0.039834	-0.0053852	0.02851	0.13196	0.091827	0.030156	0.077131	-0.21514	0.052337	0.032715	0.050302	-0.17177	0.030846	-0.001811	0.027578	0.3471	0.13573	-0.0025586	0.12246
subfamily	L1PREC2	L1	7484	4989	3568.4	1.5001	0.10122	0.38694	-0.31995	0.0077075	0.021928	0.004898	-0.037164	0.017535	-0.092323	0.013484	-0.24076	0.0094261	0.057138	0.0079382	-0.17294	0.0057399	0.020548	0.0042312	0.2036	0.025577	-0.14946	0.020543
subfamily	SVA_A	SVA	1039	971	917.18	1.07	0.090628	0.43068	0.18079	0.02119	0.045156	0.010406	-0.73071	0.030241	-0.11346	0.020791	-0.076582	0.015197	0.044815	0.01238	0.054262	0.010569	0.025362	0.0068402	-0.65413	0.041852	-0.15828	0.030488
subfamily	SVA_B	SVA	774	737	633.27	1.0502	0.078697	0.42623	0.10204	0.026865	0.036287	0.01161	-0.62832	0.036988	-0.080377	0.026735	-0.093443	0.017478	0.036445	0.016008	0.01917	0.011928	0.0091613	0.008336	-0.53488	0.050135	-0.11682	0.039175
subfamily	SVA_C	SVA	418	383	332.17	1.0914	0.096606	0.43043	0.085836	0.028467	0.0074299	0.015757	-0.72615	0.052519	-0.11272	0.041834	0.0058878	0.042485	0.070647	0.024725	0.078052	0.024037	0.026966	0.013797	-0.73204	0.087768	-0.18337	0.063285
subfamily	SVA_D	SVA	1419	1292	1189.3	1.0983	0.094427	0.43649	0.1869	0.016543	0.017133	0.0096726	-0.78051	0.025564	-0.090597	0.020159	-0.066348	0.01326	0.022669	0.011557	0.049986	0.0084783	-0.0092288	0.0062178	-0.71416	0.035609	-0.11327	0.02932
subfamily	SVA_E	SVA	645	587	545.25	1.0988	0.091993	0.4328	0.15964	0.024643	0.036888	0.013696	-0.72221	0.036815	-0.10196	0.027916	-0.069098	0.020861	0.045214	0.016795	0.045351	0.013429	0.012496	0.0090852	-0.65311	0.052737	-0.14717	0.041149
subfamily	SVA_F	SVA	928	748	625.86	1.2406	0.10027	0.44116	0.18651	0.02268	-0.0083779	0.012533	-0.73099	0.035593	-0.028801	0.026365	-0.069421	0.017583	-0.012084	0.014894	0.054549	0.011096	-0.025755	0.0078618	-0.66157	0.048662	-0.016717	0.037978
