subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M2a	antisense	NA	0	0	0	0	0	0
L1M2a	sense	NA	0	0	0	0	0	0
L1M2a1	antisense	L1	2	0	0	2	1	0
L1M2a1	sense	L1	0	2	2	7	4	0
L1M2b	antisense	L1	0	0	0	1	0	0
L1M2b	sense	L1	8	0	1	0	0	0
L1M3	antisense	L1	5	6	18	15	1	0
L1M3	sense	L1	1230	865	1097	1374	58	21
L1M3a	antisense	NA	0	0	0	0	0	0
L1M3a	sense	L1	113	75	20	42	0	4
L1M3b	antisense	L1	0	0	5	3	0	0
L1M3b	sense	L1	366	163	63	89	1	0
L1M3c	antisense	L1	1	3	1	6	0	0
L1M3c	sense	L1	204	136	69	93	3	0
L1M3de	antisense	NA	0	0	0	0	0	0
L1M3de	sense	NA	0	0	0	0	0	0
L1M3e	antisense	NA	0	0	0	0	0	0
L1M3e	sense	L1	15	15	15	24	2	3
L1M3f	antisense	L1	0	0	2	0	0	0
L1M3f	sense	L1	2	5	0	0	0	0
L1M4	antisense	L1	127	149	97	162	19	11
L1M4	sense	L1	6036	4857	5344	6746	367	221
L1M4a1	antisense	NA	0	0	0	0	0	0
L1M4a1	sense	L1	262	191	180	220	5	0
L1M4a2	antisense	L1	0	2	19	19	1	0
L1M4a2	sense	L1	1294	907	1200	1532	17	10
L1M4b	antisense	L1	55	46	104	157	8	9
L1M4b	sense	L1	5038	4000	3624	4409	423	271
L1M4c	antisense	L1	68	106	40	63	13	18
L1M4c	sense	L1	1057	811	2263	2498	5336	4413
L1M5	antisense	L1	350	377	268	359	33	20
L1M5	sense	L1	10342	7844	10389	13016	2164	1228
L1M6	antisense	L1	0	5	6	5	4	0
L1M6	sense	L1	1011	980	1668	1924	330	233
L1M6B	antisense	L1	0	0	17	27	5	1
L1M6B	sense	L1	350	177	79	125	7	10
L1M7	antisense	L1	9	5	6	15	0	0
L1M7	sense	L1	1038	793	1107	1612	36	22
L1M8	antisense	L1	6	4	44	54	0	0
L1M8	sense	L1	2263	1669	2175	2786	57	25
L1MA1	antisense	L1	5	4	8	25	1	0
L1MA1	sense	L1	785	598	380	497	44	29
L1MA10	antisense	L1	12	8	8	5	0	0
L1MA10	sense	L1	520	405	320	360	12	5
L1MA2	antisense	L1	50	37	26	49	0	0
L1MA2	sense	L1	2594	1849	2295	2717	58	29
L1MA3	antisense	L1	28	13	77	153	0	2
L1MA3	sense	L1	5244	4103	6856	8946	43	30
L1MA4	antisense	L1	26	26	164	188	16	3
L1MA4	sense	L1	7828	6093	2169	2767	42	21
L1MA4A	antisense	L1	13	9	49	71	0	0
L1MA4A	sense	L1	895	641	3766	4434	56	20
L1MA5	antisense	L1	220	203	122	113	9	16
L1MA5	sense	L1	420	314	364	458	15	12
L1MA5A	antisense	L1	0	0	8	2	0	0
L1MA5A	sense	L1	147	152	137	193	10	21
L1MA6	antisense	L1	22	14	4	19	0	0
L1MA6	sense	L1	112	135	230	265	46	61
L1MA7	antisense	L1	20	26	14	25	2	1
L1MA7	sense	L1	839	583	914	1194	70	34
L1MA8	antisense	L1	33	26	36	53	2	0
L1MA8	sense	L1	1395	919	1307	1620	20	13
L1MA9	antisense	L1	348	328	143	190	8	1
L1MA9	sense	L1	5099	3830	4318	5287	128	61
L1MB1	antisense	L1	4	0	10	11	2	0
L1MB1	sense	L1	716	627	1278	1432	169	110
L1MB2	antisense	L1	55	64	32	19	0	0
L1MB2	sense	L1	1222	865	828	1062	21	6
L1MB3	antisense	L1	114	127	58	71	2	2
L1MB3	sense	L1	3997	2972	2954	3942	120	69
L1MB4	antisense	L1	63	58	63	56	19	8
L1MB4	sense	L1	3995	2889	2010	2843	86	38
L1MB5	antisense	L1	10	7	31	18	3	2
L1MB5	sense	L1	1776	1375	702	943	96	60
L1MB7	antisense	L1	671	483	403	397	22	11
L1MB7	sense	L1	6738	5234	7064	8299	605	367
L1MB8	antisense	L1	441	310	105	141	14	5
L1MB8	sense	L1	6639	5265	4651	6147	135	95
L1MC	antisense	L1	117	83	78	75	1	0
L1MC	sense	L1	1598	1159	1790	2349	162	90
L1MC1	antisense	L1	78	49	146	133	0	0
L1MC1	sense	L1	5145	4113	5560	6930	79	53
L1MC2	antisense	L1	80	95	38	18	0	1
L1MC2	sense	L1	1373	1009	894	1221	19	18
L1MC3	antisense	L1	19	45	24	48	1	1
L1MC3	sense	L1	4670	3333	2232	2864	171	67
L1MC4	antisense	L1	264	218	147	204	11	8
L1MC4	sense	L1	10150	7276	9182	11288	579	284
L1MC4a	antisense	L1	19	2	179	158	23	18
L1MC4a	sense	L1	3063	2439	3068	3952	313	183
L1MC5	antisense	L1	343	258	141	176	36	12
L1MC5	sense	L1	4506	3567	4181	5176	255	180
L1MC5a	antisense	L1	235	124	111	125	10	11
L1MC5a	sense	L1	6656	4974	5245	6506	842	432
L1MCa	antisense	L1	41	26	49	61	2	0
L1MCa	sense	L1	2654	2095	4031	5204	81	32
L1MCb	antisense	L1	0	8	69	78	8	0
L1MCb	sense	L1	1731	1166	2512	2905	19	20
L1MCc	antisense	L1	2	1	22	9	4	0
L1MCc	sense	L1	595	434	709	943	43	14
L1MD	antisense	L1	11	13	100	83	14	10
L1MD	sense	L1	2883	2421	1719	2263	219	130
L1MD1	antisense	L1	101	79	48	58	1	0
L1MD1	sense	L1	1421	979	1272	1961	38	35
L1MD2	antisense	L1	276	215	102	133	8	1
L1MD2	sense	L1	4081	2680	1617	2017	116	67
L1MD3	antisense	L1	57	42	52	53	3	1
L1MD3	sense	L1	1415	1048	925	1185	109	76
L1MDa	antisense	L1	212	203	198	282	6	3
L1MDa	sense	L1	4482	3057	3969	5058	99	90
L1MDb	antisense	L1	5	8	9	29	0	0
L1MDb	sense	L1	942	671	265	359	389	222
L1ME1	antisense	L1	411	350	288	345	34	18
L1ME1	sense	L1	8073	6341	5268	6849	329	235
L1ME2	antisense	L1	130	141	126	156	5	0
L1ME2	sense	L1	4430	3273	2560	3170	70	73
L1ME2z	antisense	L1	10	7	16	19	0	1
L1ME2z	sense	L1	1056	870	812	939	138	56
L1ME3	antisense	L1	134	125	68	76	0	2
L1ME3	sense	L1	1369	1076	1636	1848	116	87
L1ME3A	antisense	L1	27	35	116	164	14	3
L1ME3A	sense	L1	5753	4704	3790	4523	238	137
L1ME3B	antisense	L1	56	31	35	69	22	19
L1ME3B	sense	L1	2551	1865	1417	1888	527	267
L1ME3C	antisense	L1	4	2	11	17	1	0
L1ME3C	sense	L1	494	493	582	660	46	36
L1ME3Cz	antisense	L1	231	192	68	85	3	9
L1ME3Cz	sense	L1	2108	1635	2413	2843	136	58
L1ME3D	antisense	L1	0	8	8	23	6	7
L1ME3D	sense	L1	685	543	557	652	64	41
L1ME3E	antisense	L1	6	7	11	18	0	0
L1ME3E	sense	L1	1219	1094	1940	2442	27	41
L1ME3F	antisense	L1	25	29	66	84	58	22
L1ME3F	sense	L1	1368	941	1259	1583	212	140
L1ME3G	antisense	L1	96	54	67	115	11	3
L1ME3G	sense	L1	2533	1886	2286	2884	178	144
L1ME4a	antisense	L1	194	180	204	206	24	19
L1ME4a	sense	L1	6444	5098	5783	7734	844	407
L1ME4b	antisense	L1	230	197	272	403	15	11
L1ME4b	sense	L1	4758	3695	2709	3590	226	125
L1ME4c	antisense	L1	10	21	26	46	3	0
L1ME4c	sense	L1	1619	1371	2359	2838	634	424
L1ME5	antisense	L1	17	16	18	11	0	0
L1ME5	sense	L1	309	209	245	262	7	4
L1MEa	antisense	L1	0	0	1	0	0	0
L1MEa	sense	L1	27	23	6	19	9	0
L1MEb	antisense	L1	33	18	15	9	0	0
L1MEb	sense	L1	723	643	744	813	18	1
L1MEc	antisense	L1	73	131	80	102	5	0
L1MEc	sense	L1	6179	4765	5083	6524	65	41
L1MEd	antisense	L1	132	165	105	163	2	4
L1MEd	sense	L1	7046	5520	7198	8735	226	170
L1MEf	antisense	L1	45	46	53	111	20	19
L1MEf	sense	L1	2487	2021	3739	4667	254	161
L1MEg	antisense	L1	62	53	68	88	1	2
L1MEg	sense	L1	6050	5165	6608	7614	140	63
L1MEg1	antisense	L1	2	2	12	10	0	0
L1MEg1	sense	L1	410	342	254	321	2	1
L1MEg2	antisense	L1	150	85	111	152	5	6
L1MEg2	sense	L1	36	6	10	8	9	3
L1MEh	antisense	L1	56	77	13	24	0	2
L1MEh	sense	L1	356	229	433	664	33	20
L1MEi	antisense	L1	47	70	1	19	0	0
L1MEi	sense	L1	1866	1419	2214	2999	5	26
L1MEj	antisense	L1	4	11	33	87	0	1
L1MEj	sense	L1	1385	949	1555	2011	4	5
L1P	antisense	NA	0	0	0	0	0	0
L1P	sense	NA	0	0	0	0	0	0
L1P1	antisense	L1	92	76	24	32	0	2
L1P1	sense	L1	1000	751	1286	1701	71	40
L1P2	antisense	L1	265	329	49	78	2	3
L1P2	sense	L1	1465	916	1739	2438	24	34
L1P3	antisense	L1	1	4	19	22	0	0
L1P3	sense	L1	569	372	605	794	8	8
L1P3b	antisense	NA	0	0	0	0	0	0
L1P3b	sense	NA	0	0	0	0	0	0
L1P4	antisense	L1	48	29	34	39	0	0
L1P4	sense	L1	574	478	37	38	3	0
L1P4a	antisense	L1	0	0	0	4	0	0
L1P4a	sense	L1	154	88	156	125	8	0
L1P4b	antisense	L1	0	2	2	2	0	0
L1P4b	sense	L1	3	0	0	2	0	0
L1P4c	antisense	L1	0	0	1	0	0	0
L1P4c	sense	L1	2	0	0	0	0	0
L1P4d	antisense	NA	0	0	0	0	0	0
L1P4d	sense	NA	0	0	0	0	0	0
L1P5	antisense	L1	7	2	0	0	0	0
L1P5	sense	NA	0	0	0	0	0	0
L1PA10	antisense	L1	97	73	49	87	0	0
L1PA10	sense	L1	10972	7692	2709	3536	125	77
L1PA11	antisense	L1	66	48	19	46	6	4
L1PA11	sense	L1	2516	1911	1590	2236	8	2
L1PA12	antisense	L1	24	18	18	14	0	0
L1PA12	sense	L1	535	284	125	168	2	2
L1PA13	antisense	L1	3	4	20	25	0	0
L1PA13	sense	L1	2675	1850	1301	1791	24	17
L1PA14	antisense	L1	0	1	0	6	4	0
L1PA14	sense	L1	266	206	165	224	2	8
L1PA15	antisense	L1	41	42	22	49	2	1
L1PA15	sense	L1	3535	2784	2476	3517	18	9
L1PA15-16	antisense	L1	8	25	0	6	0	0
L1PA15-16	sense	L1	200	112	97	141	0	0
L1PA16	antisense	L1	12	25	38	43	0	0
L1PA16	sense	L1	5428	4125	3532	4089	118	78
L1PA17	antisense	L1	12	9	5	1	3	3
L1PA17	sense	L1	529	443	332	478	48	33
L1PA2	antisense	L1	1163	1093	442	504	8	13
L1PA2	sense	L1	1256	992	1938	2834	41	20
L1PA3	antisense	L1	758	523	264	349	8	5
L1PA3	sense	L1	2482	1969	3729	5433	34	30
L1PA4	antisense	L1	786	654	217	261	3	2
L1PA4	sense	L1	3384	2601	3499	4973	62	43
L1PA5	antisense	L1	341	315	61	74	0	4
L1PA5	sense	L1	1923	1601	2220	2952	36	18
L1PA6	antisense	L1	33	51	191	220	3	4
L1PA6	sense	L1	10412	8068	15209	21713	67	49
L1PA7	antisense	L1	482	425	48	77	1	0
L1PA7	sense	L1	13245	9525	2522	3051	41	30
L1PA8	antisense	L1	19	27	13	21	0	1
L1PA8	sense	L1	1272	965	693	1020	79	51
L1PA8A	antisense	L1	94	99	5	18	0	0
L1PA8A	sense	L1	757	661	265	371	0	6
L1PB	antisense	L1	56	51	10	14	0	0
L1PB	sense	L1	556	414	813	935	6	6
L1PB1	antisense	L1	2	2	25	29	3	1
L1PB1	sense	L1	3396	2492	1642	2129	34	16
L1PB2	antisense	L1	6	1	10	17	0	0
L1PB2	sense	L1	202	151	112	144	0	6
L1PB3	antisense	L1	3	0	4	1	0	0
L1PB3	sense	L1	521	357	366	451	22	17
L1PB4	antisense	L1	33	42	23	43	5	1
L1PB4	sense	L1	971	939	160	274	29	17
L1PBa	antisense	L1	8	10	5	5	0	0
L1PBa	sense	L1	166	81	57	97	0	0
