subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MA6	antisense	L1	8	4.1650	0.0000	4.4035	1.4902	2.9109	2.2005	yes
L1MA8	antisense	L1	18	17.2365	7.6803	7.2975	0.0792	4.2622	2.1707	yes
L1MEc	sense	L1	84	2269.0786	526.6923	1352.0904	2.2011	2.0125	2.1068	yes
L1M1	sense	L1	42	7582.4685	1840.5735	2172.6782	2.3381	1.7776	2.0578	yes
L1M4a2	sense	L1	6	534.2806	132.8637	270.5703	2.0473	1.9518	1.9996	yes
L1PA5	sense	L1	59	1008.6331	259.8915	437.1373	1.8569	2.0535	1.9552	yes
L1MCb	antisense	L1	7	28.9897	30.7213	1.1076	-0.9550	4.7954	1.9202	NO
L1MC1	sense	L1	55	2446.6263	661.5517	1145.9589	2.0496	1.7298	1.8897	yes
L1PA5	antisense	L1	42	26.4940	27.0324	81.8222	4.8375	-1.0608	1.8884	NO
L1PA4	antisense	L1	51	93.8639	25.0367	178.6203	2.0442	1.6920	1.8681	yes
L1MA10	antisense	L1	6	2.6673	0.0000	2.4522	2.2075	1.4415	1.8245	yes
L1MA8	sense	L1	33	573.5805	164.6584	283.5487	1.9375	1.6562	1.7968	yes
L1MCa	sense	L1	29	1804.6484	527.3121	587.4420	1.5498	2.0433	1.7966	yes
AluYb8	antisense	Alu	9	2.3866	0.0000	1.8920	1.8930	1.6131	1.7530	yes
L1P3	sense	L1	17	273.0758	84.7860	115.2612	2.1370	1.3255	1.7313	yes
L1MEi	antisense	L1	10	3.4865	0.0000	14.9582	0.5384	2.9109	1.7246	yes
L1P4	sense	L1	8	14.8887	11.5205	130.4978	-0.4388	3.8116	1.6864	NO
L1MB2	sense	L1	33	369.4979	121.1920	256.6877	1.2104	2.1543	1.6824	yes
L1MA4	sense	L1	49	965.3536	303.2068	1720.7279	1.6018	1.7387	1.6702	yes
L1PA2	sense	L1	54	924.6067	292.6085	278.0812	1.4741	1.8433	1.6587	yes
L1PA4	sense	L1	86	1644.6909	528.6880	739.2961	1.7307	1.5525	1.6416	yes
AluYk4	sense	Alu	5	8.5712	3.8402	4.0409	0.5038	2.7728	1.6383	yes
L1PBa1	antisense	L1	1	2.1058	0.0000	0.0000	1.4902	1.7665	1.6284	yes
L1PB1	sense	L1	46	736.6874	238.6950	725.5490	1.5045	1.7517	1.6281	yes
L1PA7	sense	L1	70	1093.9224	360.1894	2802.8756	1.8538	1.3665	1.6101	yes
L1MC2	antisense	L1	7	11.6829	6.7581	22.1172	4.1849	-1.0161	1.5844	NO
