cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
HepG2	SUGP2	L1	L1MEd	antisense	33352	142	369	904200	511	10.4329	1.369e-82	1.215e-79
HepG2	SUGP2	L1	L1PA7	antisense	33352	117	239	904200	356	13.2718	1.727e-77	1.495e-74
HepG2	ILF3	Alu	AluSq2	sense	7515	69	230	930037	299	37.1272	2.173e-77	1.837e-74
HepG2	HNRNPM	L1	L1M4	antisense	22936	115	364	914616	479	12.5985	9.701e-77	8.009e-74
HepG2	HNRNPC	Alu	AluSc5	antisense	12825	54	36	924727	90	108.1552	2.124e-76	1.713e-73
HepG2	HNRNPC	Alu	AluSg7	antisense	12825	52	45	924727	97	83.3196	5.842e-70	4.609e-67
HepG2	SUGP2	L1	L1MEg	antisense	33352	108	235	904200	343	12.4594	1.822e-69	1.406e-66
HepG2	PTBP1	Alu	AluJr	antisense	14033	164	1792	923519	1956	6.0228	9.900e-69	7.478e-66
HepG2	PTBP1	L1	L1MEd	antisense	14033	91	420	923519	511	14.2589	5.501e-67	4.069e-64
HepG2	HNRNPM	L1	L1PA16	antisense	22936	80	161	914616	241	19.8146	3.766e-66	2.728e-63
HepG2	PTBP1	Alu	AluJb	antisense	14033	204	2971	923519	3175	4.5188	2.156e-65	1.531e-62
HepG2	HNRNPL	L1	L1MB3	antisense	14585	94	485	922967	579	12.2650	7.077e-64	4.926e-61
HepG2	MATR3	L1	L1MEd	antisense	14172	88	423	923380	511	13.5548	3.481e-63	2.376e-60
HepG2	HNRNPM	L1	L1M2	antisense	22936	82	198	914616	280	16.5147	8.956e-63	5.999e-60
HepG2	SUGP2	L1	L1M1	antisense	33352	86	148	904200	234	15.7536	4.169e-62	2.741e-59
HepG2	QKI	L1	L1MA4	antisense	15371	79	291	922181	370	16.2873	7.199e-62	4.647e-59
HepG2	HNRNPC	Alu	AluSg4	antisense	12825	44	34	924727	78	93.3104	8.245e-61	5.227e-58
HepG2	MATR3	L1	L1PA6	antisense	14172	63	156	923380	219	26.3127	1.202e-60	7.489e-58
HepG2	SUGP2	L1	L1PA6	antisense	33352	82	137	904200	219	16.2269	4.644e-60	2.842e-57
HepG2	SUGP2	L1	L1PA5	antisense	33352	81	133	904200	214	16.5111	8.675e-60	5.220e-57
HepG2	HNRNPM	L1	L1ME1	antisense	22936	120	620	914616	740	7.7181	9.107e-60	5.389e-57
HepG2	ILF3	Alu	AluSp	sense	7515	53	181	930037	234	36.2384	2.381e-59	1.386e-56
HepG2	MATR3	L1	L1MEf	antisense	14172	77	340	923380	417	14.7557	7.182e-58	4.112e-55
HepG2	ILF3	Alu	AluY	antisense	7515	70	510	930037	580	16.9863	7.448e-58	4.197e-55
HepG2	MATR3	L1	L1PB1	antisense	14172	65	214	923380	279	19.7901	5.499e-56	3.051e-53
HepG2	SUGP2	L1	L1MA3	antisense	33352	90	221	904200	311	11.0406	1.195e-54	6.527e-52
HepG2	SUGP2	L1	L1ME1	antisense	33352	135	605	904200	740	6.0495	1.371e-54	7.372e-52
HepG2	HNRNPK	L1	L1MB7	antisense	9867	79	649	927685	728	11.4445	8.848e-53	4.688e-50
HepG2	HNRNPL	L1	L1MB8	antisense	14585	75	369	922967	444	12.8622	1.333e-52	6.959e-50
HepG2	ILF3	Alu	AluSx3	antisense	7515	61	417	930037	478	18.1036	4.119e-52	2.119e-49
HepG2	MATR3	L1	L1PA5	antisense	14172	56	158	923380	214	23.0930	1.562e-51	7.922e-49
HepG2	HNRNPL	L1	L1MC1	antisense	14585	68	304	922967	372	14.1552	3.305e-50	1.653e-47
HepG2	MATR3	L1	L1M1	antisense	14172	56	178	923380	234	20.4983	3.621e-49	1.786e-46
HepG2	ILF3	Alu	AluSq2	antisense	7515	58	415	930037	473	17.2962	1.277e-48	6.210e-46
HepG2	SUGP2	L1	L1M2	antisense	33352	80	200	904200	280	10.8443	2.664e-48	1.278e-45
