cell_line	rbp	element	subfamily	orientation	obs_loci	pooled_loci_in_cat	fold_pooled	exp_loci_perm	fold_perm	q_hyper	n_perm	exceed	p_perm	q_perm
K562	HNRNPM	L1	L1MB8	antisense	14	346	3.6200	6.5202	2.1472	3.418e-03	25000	313	1.256e-02	1.585e-02
K562	PRPF8	Alu	AluSp	antisense	20	216	3.4563	11.3703	1.7590	3.268e-04	25000	317	1.272e-02	1.603e-02
K562	PTBP1	L1	L1M4a2	antisense	5	46	8.5327	1.2252	4.0810	2.134e-02	25000	323	1.296e-02	1.631e-02
K562	SLTM	L1	L1P3	sense	3	18	25.9912	0.4221	7.1077	1.558e-02	25000	335	1.344e-02	1.690e-02
K562	AKAP1	Alu	AluSc8	sense	3	67	15.7939	0.5012	5.9852	4.480e-02	25000	336	1.348e-02	1.691e-02
K562	KHDRBS1	L1	L1M1	sense	6	97	14.9142	1.5716	3.8177	3.197e-04	25000	336	1.348e-02	1.691e-02
K562	YWHAG	L1	L1MD3	sense	3	72	25.9670	0.2119	14.1583	1.224e-02	4054	54	1.356e-02	1.699e-02
K562	PTBP1	L1	L1MB2	antisense	14	337	3.0327	6.6564	2.1033	1.740e-02	25000	340	1.364e-02	1.707e-02
K562	KHSRP	L1	L1MC5a	sense	38	163	6.1252	25.6797	1.4798	3.654e-14	25000	356	1.428e-02	1.784e-02
K562	WDR3	L1	L1M1	sense	2	97	60.3022	0.1463	13.6691	2.453e-02	19417	279	1.442e-02	1.800e-02
K562	SAFB2	L1	L1PBa1	sense	3	19	20.5510	0.2605	11.5172	2.808e-02	25000	367	1.472e-02	1.835e-02
K562	KHDRBS1	L1	L1M2	sense	7	63	28.2749	2.1435	3.2657	1.157e-06	25000	372	1.492e-02	1.858e-02
K562	TARDBP	Alu	AluSz6	antisense	14	436	3.1215	7.1830	1.9490	1.307e-02	25000	379	1.520e-02	1.890e-02
K562	PTBP1	L1	L1MB3	antisense	18	431	3.0494	9.8570	1.8261	3.031e-03	25000	380	1.524e-02	1.893e-02
K562	MATR3	L1	L1MC4a	antisense	9	243	3.9589	3.4242	2.6284	2.877e-02	25000	382	1.532e-02	1.901e-02
K562	SAFB	L1	L1ME3	sense	4	79	21.1792	0.7734	5.1722	2.809e-03	25000	384	1.540e-02	1.908e-02
K562	QKI	L1	L1MEf	antisense	10	400	4.3052	4.2411	2.3579	8.430e-03	25000	386	1.548e-02	1.913e-02
K562	TARDBP	L1	L1MC5	antisense	13	366	3.4651	6.3291	2.0540	8.478e-03	25000	386	1.548e-02	1.913e-02
K562	PTBP1	L1	L1ME3G	antisense	12	280	3.1329	5.7019	2.1046	3.124e-02	25000	394	1.580e-02	1.951e-02
K562	KHSRP	L1	L1MA5A	antisense	13	83	3.7419	5.5282	2.3516	7.062e-03	25000	399	1.600e-02	1.973e-02
K562	SAFB	L1	L1MEf	sense	6	108	23.3594	1.6081	3.7312	2.747e-05	25000	404	1.620e-02	1.995e-02
K562	MATR3	L1	L1M4a2	antisense	4	46	9.8030	0.7680	5.2086	4.232e-02	25000	408	1.636e-02	2.013e-02
K562	UPF1	Alu	AluY	antisense	18	285	3.4944	10.0698	1.7875	6.653e-04	25000	414	1.660e-02	2.040e-02
K562	KHDRBS1	L1	L1MD3	sense	4	72	13.3058	0.6730	5.9435	1.433e-02	25000	416	1.668e-02	2.047e-02
K562	HLTF	L1	L1MCb	sense	2	17	45.8194	0.1646	12.1509	4.619e-02	7005	117	1.684e-02	2.065e-02
K562	SLTM	L1	L1MD	sense	6	57	15.2890	1.7848	3.3618	3.225e-04	25000	421	1.688e-02	2.067e-02
K562	HLTF	L1	L1M2a	sense	2	4	343.6458	0.1221	16.3860	2.759e-03	7005	119	1.713e-02	2.095e-02
K562	KHSRP	L1	L1ME4a	sense	53	158	10.1704	38.3303	1.3827	4.382e-28	25000	430	1.724e-02	2.106e-02
K562	MATR3	L1	L1ME3A	antisense	11	336	3.4838	4.8560	2.2652	2.226e-02	25000	431	1.728e-02	2.108e-02
K562	PTBP1	L1	L1PA5	antisense	10	197	3.7416	4.5572	2.1943	2.429e-02	25000	434	1.740e-02	2.120e-02
K562	ZRANB2	L1	L1MA4A	antisense	5	286	7.1206	1.3282	3.7645	3.492e-02	2718	47	1.765e-02	2.149e-02
K562	TARDBP	L1	L1PB4	antisense	6	78	7.8409	1.8575	3.2302	8.956e-03	25000	446	1.788e-02	2.173e-02
K562	QKI	L1	L1M1	antisense	7	218	5.5703	2.4914	2.8097	1.686e-02	25000	448	1.796e-02	2.181e-02
K562	KHDRBS1	L1	L1ME3F	sense	4	33	31.1999	0.8475	4.7199	8.165e-04	25000	453	1.816e-02	2.202e-02
K562	SAFB2	L1	L1P2	sense	3	15	27.4013	0.5045	5.9467	1.457e-02	25000	457	1.832e-02	2.219e-02
K562	MATR3	Alu	AluY	antisense	11	285	4.1323	5.1952	2.1173	6.299e-03	25000	460	1.844e-02	2.231e-02
K562	NIPBL	L1	L1MD3	sense	4	72	11.1609	0.8364	4.7825	2.577e-02	6460	120	1.873e-02	2.263e-02
K562	PTBP1	L1	L1ME1	antisense	28	746	2.7286	17.7185	1.5803	2.856e-04	25000	475	1.904e-02	2.298e-02
K562	HNRNPM	L1	L1ME3B	antisense	10	239	3.7487	4.1628	2.4022	2.328e-02	25000	488	1.956e-02	2.358e-02
K562	SLTM	L1	L1ME2	sense	9	112	11.3554	3.1253	2.8797	1.739e-05	25000	504	2.020e-02	2.432e-02
K562	HLTF	L1	L1MC2	sense	4	69	21.1474	0.7242	5.5234	2.859e-03	7005	141	2.027e-02	2.436e-02
K562	SLTM	L1	L1MD2	sense	8	149	7.3734	2.9418	2.7194	1.261e-03	25000	506	2.028e-02	2.436e-02
K562	KHSRP	L1	L1MEb	antisense	6	23	7.1113	2.0504	2.9262	2.484e-02	25000	512	2.052e-02	2.462e-02
K562	KHDRBS1	Alu	AluSz6	sense	7	240	6.7957	2.6914	2.6008	5.640e-03	25000	513	2.056e-02	2.464e-02
K562	HNRNPL	L1	L1MD3	antisense	6	82	7.0088	1.7193	3.4898	1.520e-02	25000	523	2.096e-02	2.509e-02
K562	SAFB	Alu	AluSz6	sense	5	240	8.4491	1.5629	3.1992	1.791e-02	25000	538	2.156e-02	2.578e-02
K562	PTBP1	L1	L1MA9	antisense	11	215	3.7728	5.1398	2.1402	1.315e-02	25000	543	2.176e-02	2.599e-02
K562	HNRNPM	L1	L1MB3	antisense	15	431	3.0954	7.6594	1.9584	9.165e-03	25000	549	2.200e-02	2.625e-02
K562	KHDRBS1	Alu	AluJr	sense	13	709	4.2250	6.7027	1.9395	1.272e-03	25000	553	2.216e-02	2.641e-02
K562	TARDBP	L1	L1MA7	antisense	7	143	4.8429	2.6215	2.6702	3.605e-02	25000	554	2.220e-02	2.642e-02
K562	XRCC6	Alu	AluSq2	sense	7	233	4.9102	2.7818	2.5164	3.206e-02	25000	556	2.228e-02	2.649e-02
K562	KHSRP	L1	L1MA2	antisense	18	159	2.5722	9.3949	1.9159	2.513e-02	25000	561	2.248e-02	2.669e-02
K562	HNRNPK	L1	L1MD2	antisense	7	244	5.3348	2.5485	2.7467	2.099e-02	25000	570	2.284e-02	2.709e-02
K562	SAFB2	L1	L1PA6	sense	6	38	20.5510	2.0316	2.9534	8.016e-05	25000	573	2.296e-02	2.720e-02
K562	SAFB2	L1	L1M3b	sense	2	3	219.2105	0.1672	11.9617	1.176e-02	25000	582	2.332e-02	2.760e-02
K562	SLTM	Alu	AluJo	sense	17	580	3.9241	9.7120	1.7504	2.380e-04	25000	598	2.396e-02	2.832e-02
K562	ILF3	L1	L1MB8	antisense	10	346	3.6764	4.5489	2.1983	2.558e-02	25000	630	2.524e-02	2.980e-02
K562	SAFB2	L1	L1MD3	sense	5	72	8.1795	1.0512	4.7566	2.283e-02	25000	636	2.548e-02	3.005e-02
K562	KHDRBS1	L1	L1PA14	sense	3	12	75.3997	0.5284	5.6771	1.051e-03	25000	656	2.628e-02	3.096e-02
K562	ILF3	L1	L1MB8	sense	10	149	8.8869	4.6042	2.1719	3.141e-05	25000	659	2.640e-02	3.106e-02
K562	SAFB2	L1	L1ME3F	sense	5	33	19.5724	1.3652	3.6626	6.905e-04	25000	673	2.696e-02	3.168e-02
K562	ILF3	L1	L1MC4	antisense	14	612	2.8920	7.4111	1.8891	2.453e-02	25000	684	2.740e-02	3.216e-02
K562	DGCR8	Alu	AluSx	sense	5	408	7.6161	1.6627	3.0071	2.660e-02	4166	115	2.784e-02	3.264e-02
K562	SAFB	L1	L1ME5	sense	2	13	72.2017	0.2412	8.2932	2.186e-02	25000	696	2.788e-02	3.265e-02
K562	HNRNPM	L1	L1MA1	antisense	4	37	10.4056	0.8635	4.6324	3.605e-02	25000	697	2.792e-02	3.266e-02
K562	MATR3	L1	L1PB4	antisense	5	78	7.0501	1.4321	3.4913	4.067e-02	25000	725	2.904e-02	3.393e-02
K562	TARDBP	L1	L1M5	antisense	26	881	2.8613	17.0787	1.5224	2.606e-04	25000	748	2.996e-02	3.497e-02
K562	SAFB2	Alu	AluSq	sense	5	76	7.7187	1.7038	2.9346	2.859e-02	25000	755	3.024e-02	3.526e-02
K562	NIPBL	L1	L1M3f	sense	2	10	47.4339	0.2158	9.2683	4.967e-02	6460	199	3.095e-02	3.605e-02
K562	TARDBP	L1	L1MB8	antisense	13	346	3.6732	6.9732	1.8643	5.119e-03	25000	782	3.132e-02	3.643e-02
K562	SAFB2	L1	L1MC5a	sense	9	163	6.4055	4.0659	2.2135	1.180e-03	25000	784	3.140e-02	3.648e-02
K562	TARDBP	L1	L1MEd	antisense	14	477	2.8451	7.6580	1.8282	2.877e-02	25000	810	3.244e-02	3.765e-02
K562	KHDRBS1	Alu	AluSx1	sense	10	423	5.4770	4.9774	2.0091	1.347e-03	25000	828	3.316e-02	3.844e-02
K562	PTBP1	L1	L1MD3	antisense	6	82	5.5238	2.1057	2.8494	4.565e-02	25000	842	3.372e-02	3.905e-02
K562	YWHAG	L1	L1MEd	sense	4	167	14.6562	0.9985	4.0059	9.562e-03	4054	140	3.477e-02	4.022e-02
K562	KHSRP	L1	L1ME4c	sense	18	43	14.5071	11.2469	1.6004	3.319e-11	25000	888	3.556e-02	4.108e-02
K562	SLTM	L1	L1MEd	sense	10	167	8.2775	4.5771	2.1848	5.508e-05	25000	899	3.600e-02	4.155e-02
K562	TIA1	L1	L1MEf	antisense	19	400	2.8678	10.9141	1.7409	4.257e-03	792	28	3.657e-02	4.216e-02
K562	KHDRBS1	L1	L1MC4a	sense	5	67	18.2419	1.6814	2.9736	7.542e-04	25000	950	3.804e-02	4.380e-02
K562	QKI	Alu	AluSx	sense	13	408	5.5260	7.3467	1.7695	9.686e-05	25000	953	3.816e-02	4.384e-02
K562	UPF1	Alu	AluSz6	sense	17	240	3.9515	10.5366	1.6134	2.737e-04	25000	953	3.816e-02	4.384e-02
K562	HNRNPL	L1	L1ME4b	sense	11	117	9.2129	5.8514	1.8799	7.180e-06	25000	955	3.824e-02	4.388e-02
K562	KHDRBS1	Alu	AluJb	sense	17	1080	3.6175	10.3233	1.6468	5.853e-04	25000	972	3.892e-02	4.461e-02
K562	FAM120A	Alu	AluSz	sense	19	375	4.1273	12.0818	1.5726	4.049e-05	8480	336	3.974e-02	4.550e-02
K562	SLTM	L1	L1PA10	sense	5	47	15.4710	1.4899	3.3559	1.699e-03	25000	1007	4.032e-02	4.612e-02
K562	SAFB	L1	L1MA2	sense	3	29	45.8203	0.5689	5.2731	2.986e-03	25000	1025	4.104e-02	4.689e-02
K562	HNRNPA1	L1	L1MEd	sense	4	167	15.5396	1.1783	3.3946	7.888e-03	12891	531	4.127e-02	4.710e-02
K562	LIN28B	Alu	AluSc	sense	7	108	6.5120	3.1656	2.2112	7.936e-03	25000	1063	4.256e-02	4.851e-02
K562	HNRNPL	L1	L1MB7	sense	17	187	8.8778	10.0920	1.6845	5.757e-09	25000	1064	4.260e-02	4.851e-02
