cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	AARS	Alu	AluSc5	antisense	1457	0	53	883938	53	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4	sense	1457	0	138	883938	138	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4	antisense	1457	0	472	883938	472	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluY	sense	1457	1	240	883938	241	2.5278	3.276e-01	1.000e+00
K562	AARS	Alu	AluY	antisense	1457	0	285	883938	285	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg4	sense	1457	0	17	883938	17	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg4	antisense	1457	0	38	883938	38	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx3	sense	1457	0	131	883938	131	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx3	antisense	1457	0	231	883938	231	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSq	sense	1457	0	76	883938	76	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSq	antisense	1457	0	135	883938	135	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluJb	sense	1457	3	1077	883938	1080	1.6899	2.632e-01	1.000e+00
K562	AARS	Alu	AluJb	antisense	1457	1	1625	883938	1626	0.3733	9.315e-01	1.000e+00
K562	AARS	Alu	AluSq2	sense	1457	0	233	883938	233	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSq2	antisense	1457	0	285	883938	285	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3E	sense	1457	0	30	883938	30	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3E	antisense	1457	0	80	883938	80	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA5	sense	1457	0	19	883938	19	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA5	antisense	1457	0	116	883938	116	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg	sense	1457	0	103	883938	103	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg	antisense	1457	2	312	883938	314	3.8890	9.517e-02	1.000e+00
K562	AARS	Alu	AluJr4	sense	1457	0	119	883938	119	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluJr4	antisense	1457	1	263	883938	264	2.3068	3.526e-01	1.000e+00
K562	AARS	L1	L1MB8	sense	1457	0	149	883938	149	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB8	antisense	1457	0	346	883938	346	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg7	sense	1457	0	32	883938	32	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg7	antisense	1457	0	60	883938	60	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME4b	sense	1457	0	117	883938	117	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME4b	antisense	1457	0	312	883938	312	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx1	sense	1457	1	422	883938	423	1.4376	5.018e-01	1.000e+00
K562	AARS	Alu	AluSx1	antisense	1457	0	732	883938	732	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh3	sense	1457	0	3	883938	3	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh3	antisense	1457	0	6	883938	6	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC3	sense	1457	0	67	883938	67	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC3	antisense	1457	0	215	883938	215	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME4a	sense	1457	0	158	883938	158	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME4a	antisense	1457	2	508	883938	510	2.3885	2.053e-01	1.000e+00
K562	AARS	Alu	AluYc	sense	1457	1	10	883938	11	60.6684	1.795e-02	5.268e-01
K562	AARS	Alu	AluYc	antisense	1457	0	10	883938	10	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC	sense	1457	0	40	883938	40	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC	antisense	1457	0	111	883938	111	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA4	sense	1457	0	58	883938	58	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA4	antisense	1457	1	279	883938	280	2.1745	3.695e-01	1.000e+00
K562	AARS	L1	L1MD3	sense	1457	0	72	883938	72	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MD3	antisense	1457	0	82	883938	82	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYf1	sense	1457	0	4	883938	4	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYf1	antisense	1457	0	8	883938	8	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC4a	sense	1457	0	67	883938	67	0.0000	1.000e+00	1.000e+00
