cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
HepG2	AGGF1	L1	L1PREC2	antisense	5235	0	126	932317	126	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PB	sense	5235	0	2	932317	2	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PB	antisense	5235	0	12	932317	12	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSc5	sense	5235	0	34	932317	34	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSc5	antisense	5235	0	90	932317	90	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4	sense	5235	0	82	932317	82	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4	antisense	5235	0	479	932317	479	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluY	sense	5235	1	256	932317	257	0.6957	7.629e-01	1.000e+00
HepG2	AGGF1	Alu	AluY	antisense	5235	0	580	932317	580	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSg4	sense	5235	0	29	932317	29	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSg4	antisense	5235	0	78	932317	78	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSx3	sense	5235	1	189	932317	190	0.9423	6.549e-01	1.000e+00
HepG2	AGGF1	Alu	AluSx3	antisense	5235	1	477	932317	478	0.3734	9.312e-01	1.000e+00
HepG2	AGGF1	Alu	AluSq	sense	5235	1	60	932317	61	2.9682	2.893e-01	1.000e+00
HepG2	AGGF1	Alu	AluSq	antisense	5235	1	229	932317	230	0.7777	7.242e-01	1.000e+00
HepG2	AGGF1	Alu	AluJb	sense	5235	21	1484	932317	1505	2.5202	1.697e-04	7.014e-03
HepG2	AGGF1	Alu	AluJb	antisense	5235	7	3168	932317	3175	0.3935	9.988e-01	1.000e+00
HepG2	AGGF1	Alu	AluSq2	sense	5235	3	296	932317	299	1.8050	2.345e-01	1.000e+00
HepG2	AGGF1	Alu	AluSq2	antisense	5235	0	473	932317	473	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3E	sense	5235	0	7	932317	7	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3E	antisense	5235	0	84	932317	84	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA5	sense	5235	0	18	932317	18	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA5	antisense	5235	0	131	932317	131	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSg	sense	5235	0	159	932317	159	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSg	antisense	5235	1	491	932317	492	0.3627	9.364e-01	1.000e+00
HepG2	AGGF1	Alu	AluJr4	sense	5235	1	176	932317	177	1.0119	6.289e-01	1.000e+00
HepG2	AGGF1	Alu	AluJr4	antisense	5235	1	480	932317	481	0.3710	9.324e-01	1.000e+00
HepG2	AGGF1	L1	L1MB8	sense	5235	1	103	932317	104	1.7291	4.414e-01	1.000e+00
HepG2	AGGF1	L1	L1MB8	antisense	5235	1	443	932317	444	0.4020	9.168e-01	1.000e+00
HepG2	AGGF1	Alu	AluSg7	sense	5235	1	22	932317	23	8.0951	1.208e-01	1.000e+00
HepG2	AGGF1	Alu	AluSg7	antisense	5235	1	96	932317	97	1.8551	4.191e-01	1.000e+00
HepG2	AGGF1	L1	L1ME4b	sense	5235	1	83	932317	84	2.1457	3.752e-01	1.000e+00
HepG2	AGGF1	L1	L1ME4b	antisense	5235	2	292	932317	294	1.2198	4.890e-01	1.000e+00
HepG2	AGGF1	Alu	AluSx1	sense	5235	1	568	932317	569	0.3135	9.587e-01	1.000e+00
HepG2	AGGF1	Alu	AluSx1	antisense	5235	4	1607	932317	1611	0.4433	9.790e-01	1.000e+00
HepG2	AGGF1	Alu	AluYh3	sense	5235	0	8	932317	8	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYh3	antisense	5235	0	17	932317	17	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC3	sense	5235	2	57	932317	59	6.2489	4.325e-02	9.210e-01
HepG2	AGGF1	L1	L1MC3	antisense	5235	0	223	932317	223	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME4a	sense	5235	0	98	932317	98	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME4a	antisense	5235	1	403	932317	404	0.4419	8.959e-01	1.000e+00
HepG2	AGGF1	Alu	AluYc	sense	5235	0	9	932317	9	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYc	antisense	5235	0	35	932317	35	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC	sense	5235	0	13	932317	13	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC	antisense	5235	0	99	932317	99	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA4	sense	5235	0	16	932317	16	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA4	antisense	5235	0	370	932317	370	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MD3	sense	5235	0	34	932317	34	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MD3	antisense	5235	0	88	932317	88	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYf1	sense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYf1	antisense	5235	0	6	932317	6	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC4a	sense	5235	0	43	932317	43	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC4a	antisense	5235	1	307	932317	308	0.5801	8.218e-01	1.000e+00
HepG2	AGGF1	L1	L1ME1	sense	5235	1	172	932317	173	1.0354	6.205e-01	1.000e+00
HepG2	AGGF1	L1	L1ME1	antisense	5235	0	740	932317	740	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3B	sense	5235	0	43	932317	43	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3B	antisense	5235	0	195	932317	195	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA5	sense	5235	0	25	932317	25	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA5	antisense	5235	1	213	932317	214	0.8361	6.983e-01	1.000e+00
HepG2	AGGF1	L1	L1ME3D	sense	5235	0	19	932317	19	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3D	antisense	5235	0	119	932317	119	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1P4	sense	5235	0	19	932317	19	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1P4	antisense	5235	0	37	932317	37	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA2	sense	5235	0	15	932317	15	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA2	antisense	5235	0	207	932317	207	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA15-16	sense	5235	0	7	932317	7	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA15-16	antisense	5235	0	15	932317	15	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA8A	sense	5235	0	24	932317	24	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA8A	antisense	5235	0	86	932317	86	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA8	sense	5235	0	20	932317	20	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA8	antisense	5235	0	95	932317	95	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA10	sense	5235	0	20	932317	20	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA10	antisense	5235	0	106	932317	106	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEd	sense	5235	0	73	932317	73	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEd	antisense	5235	0	511	932317	511	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA7	sense	5235	0	46	932317	46	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MA7	antisense	5235	1	174	932317	175	1.0235	6.247e-01	1.000e+00
HepG2	AGGF1	L1	L1MEc	sense	5235	0	69	932317	69	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEc	antisense	5235	1	696	932317	697	0.2559	9.798e-01	1.000e+00
HepG2	AGGF1	L1	L1M7	sense	5235	0	6	932317	6	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M7	antisense	5235	0	70	932317	70	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA11	sense	5235	0	5	932317	5	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA11	antisense	5235	0	94	932317	94	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4c	sense	5235	3	64	932317	67	8.3481	6.388e-03	1.870e-01
HepG2	AGGF1	L1	L1M4c	antisense	5235	0	147	932317	147	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME3	sense	5235	1	28	932317	29	6.3605	1.499e-01	1.000e+00
HepG2	AGGF1	L1	L1ME3	antisense	5235	2	171	932317	173	2.0830	2.517e-01	1.000e+00
HepG2	AGGF1	L1	L1MEg	sense	5235	0	59	932317	59	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MEg	antisense	5235	0	343	932317	343	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC4	sense	5235	1	156	932317	157	1.1416	5.849e-01	1.000e+00
HepG2	AGGF1	L1	L1MC4	antisense	5235	3	870	932317	873	0.6141	8.652e-01	1.000e+00
HepG2	AGGF1	L1	L1M3	sense	5235	0	15	932317	15	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M3	antisense	5235	1	123	932317	124	1.4479	5.006e-01	1.000e+00
HepG2	AGGF1	L1	L1M8	sense	5235	0	8	932317	8	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M8	antisense	5235	0	55	932317	55	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	SVA	SVA_D	sense	5235	0	16	932317	16	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	SVA	SVA_D	antisense	5235	0	41	932317	41	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4b	sense	5235	0	20	932317	20	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4b	antisense	5235	0	176	932317	176	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC1	sense	5235	0	67	932317	67	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC1	antisense	5235	0	372	932317	372	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA3	sense	5235	0	19	932317	19	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA3	antisense	5235	0	66	932317	66	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB4	sense	5235	0	42	932317	42	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB4	antisense	5235	0	297	932317	297	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSc8	sense	5235	2	90	932317	92	3.9576	9.396e-02	1.000e+00
HepG2	AGGF1	Alu	AluSc8	antisense	5235	0	245	932317	245	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYa5	sense	5235	0	2	932317	2	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYa5	antisense	5235	0	3	932317	3	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MD	sense	5235	2	20	932317	22	17.8093	6.686e-03	1.948e-01
HepG2	AGGF1	L1	L1MD	antisense	5235	0	133	932317	133	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1ME2	sense	5235	0	54	932317	54	0.0000	1.000e+00	1.000e+00
