subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1M7	sense	L1	151	2253.1445	272.4855	415.5611	3.1246	2.9637	3.0441	yes
L1MA7	sense	L1	399	1017.3193	139.7730	611.7238	3.7487	2.2818	3.0153	yes
L1PA10	sense	L1	450	8338.9240	1049.6958	4766.1422	3.1743	2.8194	2.9969	yes
L1PA7	antisense	L1	1039	4948.8109	624.9946	9329.1864	3.1621	2.8191	2.9906	yes
L1M2	sense	L1	478	5677.1624	743.7223	2287.9412	3.4173	2.5190	2.9681	yes
L1P4d	sense	L1	13	86.0343	10.5983	4.5947	3.1741	2.7212	2.9476	yes
L1MA1	sense	L1	297	2535.0493	336.9972	1161.0470	2.9874	2.8300	2.9087	yes
L1M2a1	antisense	L1	7	6.4266	0.0000	6.5324	2.8743	2.9109	2.8926	yes
L1M8	sense	L1	99	667.9901	89.5484	409.3377	3.0230	2.7498	2.8864	yes
L1PA8A	antisense	L1	144	773.9354	103.9868	1295.1620	2.9892	2.7792	2.8842	yes
L1P4	antisense	L1	188	539.0510	72.1921	775.5954	2.9204	2.8401	2.8802	yes
L1MCa	sense	L1	450	3995.1908	562.4785	1106.1359	3.1114	2.5737	2.8426	yes
L1M6B	antisense	L1	25	6.2629	0.0000	19.8570	2.5791	3.0960	2.8375	yes
L1P4	sense	L1	209	2164.4975	309.1939	937.1354	3.1157	2.5380	2.8269	yes
L1ME3Cz	sense	L1	358	914.2005	135.6304	344.9524	2.3355	3.2878	2.8116	yes
L1MA7	antisense	L1	400	1283.4050	192.4618	1427.6948	2.5837	2.9111	2.7474	yes
L1M3e	antisense	L1	30	73.9365	10.5983	60.0525	3.2629	2.1968	2.7298	yes
L1PREC2	sense	L1	480	4212.0371	640.3552	2106.2125	2.8955	2.5411	2.7183	yes
L1P4b	antisense	L1	20	18.3673	3.8402	93.0934	1.1710	4.2622	2.7166	yes
L1MA5A	sense	L1	151	1780.8516	276.4769	907.4110	3.1613	2.2666	2.7140	yes
L1HS	sense	L1	452	4645.5837	744.6445	1582.3081	2.9025	2.4405	2.6715	yes
L1MA3	sense	L1	505	3600.1941	566.1674	2103.1995	2.8061	2.5278	2.6669	yes
L1M4b	sense	L1	259	1185.1139	219.7967	513.1656	3.3657	1.8517	2.6087	yes
L1ME3E	sense	L1	202	295.3115	55.7580	217.2365	1.7959	3.3995	2.5977	yes
L1M4c	sense	L1	178	433.0827	71.2699	343.0890	2.9343	2.2513	2.5928	yes
L1MA1	antisense	L1	226	2706.2399	447.7422	4176.7793	2.7766	2.4063	2.5914	yes
L1M3de	antisense	L1	31	16.7059	3.8402	40.3176	1.2040	3.9462	2.5751	yes
L1MC	sense	L1	297	3821.4550	640.3552	756.6210	2.8145	2.3327	2.5736	yes
L1PA4	sense	L1	1951	5855.7760	1014.2121	3401.9198	2.7275	2.3645	2.5460	yes
L1MEi	sense	L1	261	1396.5395	244.6821	453.8475	2.9385	2.1404	2.5395	yes
L1MEb	sense	L1	100	372.9744	70.1964	142.5227	2.0136	3.0359	2.5247	yes
AluYe6	antisense	Alu	5	4.7185	0.0000	0.3890	2.5791	2.4493	2.5142	yes
L1P4a	antisense	L1	43	35.4867	20.2743	50.7404	5.1812	-0.1793	2.5009	NO
L1MDa	sense	L1	315	1718.3234	307.1982	1026.0029	2.6792	2.2934	2.4863	yes
L1PA7	sense	L1	1188	8146.3512	1475.1679	4085.0513	2.5428	2.3916	2.4672	yes
L1MC1	antisense	L1	682	2116.0349	387.8416	2325.0121	2.4247	2.4704	2.4476	yes
L1ME3E	antisense	L1	160	888.3788	167.4251	467.9823	2.2580	2.5882	2.4231	yes
L1P4c	sense	L1	2	4.3208	0.0000	0.5538	2.4655	2.3557	2.4106	yes
L1MA9	sense	L1	710	3114.0911	601.9536	1478.0451	2.6566	2.1096	2.3831	yes
L1MA3	antisense	L1	452	2743.6721	529.3078	3850.8484	2.2665	2.4982	2.3824	yes
L1P5	antisense	L1	25	28.6774	15.3606	14.7398	0.2117	4.4996	2.3556	yes
L1MD	sense	L1	388	1684.8787	379.8440	656.9573	3.1926	1.4988	2.3457	yes
L1PA14	antisense	L1	176	583.5935	116.4296	1103.8430	2.1573	2.5190	2.3382	yes
L1MA4A	antisense	L1	283	1990.8790	443.4335	1505.7605	3.1556	1.5120	2.3338	yes
L1PA8	sense	L1	462	1579.6857	316.8742	1500.1406	2.5753	2.0856	2.3305	yes
L1ME2	sense	L1	500	2468.0268	491.0574	913.1671	2.5033	2.1449	2.3241	yes
L1P5	sense	L1	23	37.8496	30.7213	13.3695	-0.5360	5.1141	2.2890	NO
L1PA5	antisense	L1	1423	2426.0915	504.7248	5139.5706	2.5804	1.9908	2.2856	yes
L1P2	antisense	L1	132	103.4726	22.1187	363.1864	1.7822	2.7819	2.2821	yes
L1PB2	antisense	L1	150	335.5089	68.3519	468.8178	2.2709	2.2865	2.2787	yes
L1PBa	antisense	L1	181	401.8320	82.7903	1148.7533	2.3360	2.1878	2.2619	yes
L1MA2	antisense	L1	399	1095.1294	242.8376	1790.3792	2.8502	1.6512	2.2507	yes
L1M3c	sense	L1	79	121.9661	27.9546	78.4185	2.6949	1.7525	2.2237	yes
