subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M1	sense	L1	22491	17084	23969	30862	109	64
L1M2	antisense	L1	14633	12269	5571	6564	172	146
L1M2	sense	L1	10320	8173	13445	15364	74	68
L1M2a	antisense	L1	4048	3013	1040	1394	135	95
L1M2a	sense	L1	182	88	61	57	8	9
L1M2a1	antisense	L1	41	14	14	19	0	0
L1M2a1	sense	L1	661	444	2651	3082	0	4
L1M2b	antisense	L1	10	16	9	13	0	2
L1M2b	sense	L1	3768	2452	416	518	0	0
L1M2c	antisense	L1	52	62	91	108	1	0
L1M2c	sense	L1	3143	1988	1812	2126	0	5
L1M3	antisense	L1	1893	1928	1769	1883	34	18
L1M3	sense	L1	3026	2291	3994	4768	40	35
L1M3a	antisense	L1	246	275	65	110	6	3
L1M3a	sense	L1	130	125	143	155	1	0
L1M3b	antisense	L1	192	164	85	71	12	11
L1M3b	sense	L1	706	412	628	815	1	0
L1M3c	antisense	L1	710	588	151	268	5	2
L1M3c	sense	L1	386	254	232	405	2	3
L1M3d	antisense	L1	644	425	171	222	0	1
L1M3d	sense	L1	666	421	398	537	9	0
L1M3de	antisense	L1	172	152	42	42	1	0
L1M3de	sense	L1	295	251	1299	1423	5	6
L1M3e	antisense	L1	316	178	182	191	1	1
L1M3e	sense	L1	1560	1047	1684	2004	15	4
L1M3f	antisense	L1	454	491	245	250	9	3
L1M3f	sense	L1	701	540	313	333	0	0
L1M4	antisense	L1	8837	8377	5524	6747	1090	420
L1M4	sense	L1	7686	6395	7973	9985	121	99
L1M4a1	antisense	L1	538	630	510	511	1	3
L1M4a1	sense	L1	441	304	654	691	14	8
L1M4a2	antisense	L1	320	322	118	162	2	3
L1M4a2	sense	L1	739	452	947	1070	4	4
L1M4b	antisense	L1	1091	1062	656	855	3672	2064
L1M4b	sense	L1	2410	1756	2646	3419	15	24
L1M4c	antisense	L1	1669	1620	540	499	46	42
L1M4c	sense	L1	1463	1294	1053	1136	8	6
L1M5	antisense	L1	9101	8554	5782	6933	298	167
L1M5	sense	L1	12546	11271	17954	21107	349	213
L1M6	antisense	L1	697	634	412	437	6	2
