subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
AluSp	Alu	sense	5328	12716	40238	0.0287291	0.0359522	-8.51885	1	1	0.0474368	0.0118502	-1.57868	0.942795	0.999762
L1MDa	L1	sense	400	1381	7181	0.011419	0.0260757	-8.60789	1	1	0.0289912	0.0171603	-1.024	0.847083	0.999762
SVA_B	SVA	sense	150	221	1734	0.00519031	0.0355941	-8.64961	1	1	0.0379458	0.105952	-0.309155	0.621398	0.999762
L1MB8	L1	antisense	865	2231	9586	0.0183601	0.0334759	-8.99176	1	1	0.0396558	0.0176703	-1.20517	0.885931	0.999762
AluSz6	Alu	antisense	4486	9840	31197	0.0298426	0.0387552	-9.00403	1	1	0.0505861	0.0360884	-0.574796	0.717285	0.999762
L1MA2	L1	sense	548	1600	11112	0.0169186	0.0304438	-9.15464	1	1	0.040614	0.0456694	-0.518844	0.698065	0.999762
AluSx	Alu	sense	7885	29991	93962	0.0284583	0.033432	-9.19957	1	1	0.0438796	0.0132739	-1.16178	0.877337	0.999762
L1ME4a	L1	sense	2756	10233	15104	0.0155588	0.0268312	-9.30345	1	1	0.0377391	0.0319153	-0.694972	0.756464	0.999762
L1M4c	L1	sense	202	782	3493	0.0103063	0.0378644	-9.31931	1	1	0.0424073	0.030082	-1.06712	0.857041	0.999762
L1MEf	L1	antisense	357	1279	5803	0.0101672	0.0289089	-9.45626	1	1	0.0421275	0.0332132	-0.962279	0.832045	0.999762
L1MB7	L1	antisense	1126	3153	12659	0.016194	0.0293234	-9.45782	1	1	0.0367596	0.0123843	-1.66062	0.951606	0.999762
L1M2	L1	antisense	340	898	3265	0.0199081	0.0526764	-9.46094	1	1	0.0613656	0.0260342	-1.59242	0.944355	0.999762
L1PA8A	L1	sense	233	410	4440	0.00675676	0.026426	-9.48593	1	1	0.0554539	0.0673575	-0.722965	0.765149	0.999762
L1MA9	L1	antisense	657	1775	5785	0.0127917	0.0327165	-9.58165	1	1	0.0371663	0.018785	-1.29756	0.90278	0.999762
L1PA13	L1	sense	705	1384	10785	0.0183588	0.0337738	-9.68487	1	1	0.0428986	0.0312553	-0.785139	0.783814	0.999762
L1MC5	L1	sense	1673	4865	12230	0.0187244	0.0332542	-9.86371	1	1	0.0401718	0.00930827	-2.30412	0.989392	0.999762
L1MB4	L1	sense	877	2634	8131	0.0127906	0.029914	-9.93306	1	1	0.0550946	0.0885433	-0.477778	0.683596	0.999762
L1PA13	L1	antisense	468	915	5965	0.0144174	0.0369559	-9.94045	1	1	0.0429838	0.0608079	-0.469781	0.680744	0.999762
L1MA8	L1	sense	773	2122	7084	0.00776398	0.0244968	-9.95249	1	1	0.0302093	0.0217413	-1.03238	0.849053	0.999762
L1MD2	L1	sense	877	2478	9179	0.0124197	0.028304	-9.96573	1	1	0.0414161	0.0254991	-1.13715	0.872263	0.999762
L1MEd	L1	sense	1216	4960	12680	0.017429	0.031962	-10.0351	1	1	0.0435389	0.015475	-1.68723	0.95422	0.999762
L1MA7	L1	sense	557	1492	5096	0.0129513	0.0368853	-10.1192	1	1	0.0489653	0.0341434	-1.05479	0.854238	0.999762
L1MC3	L1	sense	830	2276	10309	0.00989427	0.024553	-10.2747	1	1	0.0339731	0.0197613	-1.21849	0.88848	0.999762
L1MC4a	L1	sense	1044	3049	9639	0.00850711	0.0233771	-10.3598	1	1	0.0303655	0.0101727	-2.14874	0.984172	0.999762
L1MA4A	L1	sense	470	1305	10255	0.0160897	0.0328825	-10.4046	1	1	0.0371707	0.0136436	-1.54512	0.938842	0.999762
L1PA8	L1	sense	739	1403	9161	0.0121166	0.0293193	-10.4357	1	1	0.0425301	0.0225656	-1.34778	0.911136	0.999762
L1MEg	L1	sense	773	2955	9605	0.0134305	0.0295629	-10.4399	1	1	0.0452725	0.0436121	-0.730119	0.767341	0.999762
AluY	Alu	antisense	6626	19808	53924	0.0272606	0.0348573	-10.4837	1	1	0.0461943	0.0149394	-1.26737	0.897488	0.999762
L1MCa	L1	sense	361	1394	6515	0.00966999	0.0297322	-10.4956	1	1	0.0394149	0.0237194	-1.25403	0.895085	0.999762
L1MEf	L1	sense	697	2853	10805	0.00999537	0.0247462	-10.5437	1	1	0.0316235	0.013817	-1.56532	0.941246	0.999762
L1MB3	L1	sense	1723	4974	16509	0.0168393	0.0304232	-10.6198	1	1	0.0367645	0.0124335	-1.60254	0.945482	0.999762
L1MC5a	L1	sense	1804	5301	13077	0.0142234	0.0285441	-10.7029	1	1	0.0353112	0.00954756	-2.20871	0.986402	0.999762
L1MC1	L1	sense	1072	2931	13288	0.0136213	0.0275047	-10.7364	1	1	0.0352033	0.0137363	-1.57116	0.941927	0.999762
AluJr4	Alu	antisense	2551	4516	17201	0.0217429	0.0354406	-10.7719	1	1	0.0444957	0.0168277	-1.35211	0.911829	0.999762
L1MC4	L1	sense	2203	7548	21457	0.0178497	0.0293888	-10.7866	1	1	0.0331672	0.00536124	-2.85709	0.997862	0.999762
AluSz	Alu	sense	7495	26427	85157	0.0258933	0.0319408	-10.9028	1	1	0.0414214	0.012964	-1.19778	0.884498	0.999762
L1PREC2	L1	sense	610	1289	10157	0.0126021	0.0299628	-11.0196	1	1	0.0402636	0.0211904	-1.30538	0.904118	0.999762
AluJr4	Alu	sense	2845	5351	17943	0.0195619	0.0327979	-11.0563	1	1	0.0422369	0.0369772	-0.613215	0.730133	0.999762
AluSx1	Alu	sense	7982	29406	93231	0.0270082	0.0330232	-11.2098	1	1	0.0427443	0.0154844	-1.01626	0.845247	0.999762
L1MB7	L1	sense	2172	7340	25447	0.0162691	0.0268449	-11.2238	1	1	0.0368845	0.00777201	-2.65252	0.996005	0.999762
L1M5	L1	sense	3176	11919	21903	0.0171666	0.0288485	-11.3558	1	1	0.0378145	0.0254173	-0.812358	0.791707	0.999762
L1PA10	L1	sense	645	1216	10087	0.00921979	0.0267679	-11.6894	1	1	0.0309095	0.0178544	-1.21481	0.887781	0.999762
L1MB8	L1	sense	1607	4949	16288	0.0161469	0.0302793	-11.7797	1	1	0.0293966	0.0132125	-1.00282	0.842026	0.999762
AluJr	Alu	antisense	6343	18588	69230	0.0282825	0.0360381	-11.9729	1	1	0.0408614	0.0049655	-2.53325	0.99435	0.999762
L1MA3	L1	sense	636	1891	15694	0.0226201	0.039696	-12.0412	1	1	0.058956	0.0753504	-0.482226	0.685177	0.999762
L1ME3A	L1	sense	1345	3783	11660	0.0135506	0.0307715	-12.1315	1	1	0.0362366	0.00833061	-2.72321	0.996767	0.999762
L1M1	L1	antisense	263	702	5104	0.00920846	0.0400016	-12.3075	1	1	0.0641596	0.0569995	-0.964063	0.832493	0.999762
L1MEc	L1	sense	1155	4433	18341	0.0165749	0.0321212	-12.9037	1	1	0.0409476	0.00921587	-2.64464	0.995911	0.999762
L1PA15	L1	sense	630	1416	12815	0.0112368	0.0290157	-12.9391	1	1	0.0361365	0.0172681	-1.44195	0.925341	0.999762
L1PA17	L1	sense	483	948	6907	0.00868684	0.035691	-13.1635	1	1	0.0501031	0.0423552	-0.977831	0.835921	0.999762
L1MA4	L1	sense	788	2159	11233	0.0108609	0.030507	-13.1697	1	1	0.0486611	0.0812677	-0.465132	0.679082	0.999762
L1PA6	L1	sense	652	1182	16168	0.0170708	0.0341651	-13.3242	1	1	0.0486571	0.0232446	-1.35887	0.912906	0.999762
L1PA14	L1	sense	298	505	5974	0.0182457	0.0543658	-13.5712	1	1	0.0644365	0.0402535	-1.1475	0.874412	0.999762
L1PB1	L1	sense	943	2443	22799	0.0146498	0.0288988	-13.7489	1	1	0.0325018	0.00914898	-1.95126	0.974487	0.999762
L1M4	L1	sense	1427	4866	16777	0.0133516	0.0306934	-14.1547	1	1	0.0389019	0.0105909	-2.41248	0.992078	0.999762
L1PA7	L1	sense	1048	2333	29605	0.0189495	0.0326734	-14.2199	1	1	0.04083	0.0141616	-1.54506	0.938835	0.999762
L1PA11	L1	sense	492	840	7951	0.0111936	0.0416311	-15.8476	1	1	0.139027	0.109392	-1.16858	0.878714	0.999762
AluJb	Alu	antisense	7709	27315	100000	0.02743	0.0363734	-16.4315	1	1	0.0471948	0.014307	-1.38148	0.916435	0.999762
L1ME1	L1	sense	2082	7910	29614	0.0106369	0.0244961	-16.5041	1	1	0.0314561	0.00879106	-2.36823	0.991063	0.999762
AluJo	Alu	sense	6348	19527	67531	0.0212939	0.0316653	-16.6825	1	1	0.0406193	0.00942652	-2.0501	0.979823	0.999762
L1PA16	L1	sense	1052	2536	20621	0.00897144	0.0267967	-17.2299	1	1	0.0326029	0.0131986	-1.79045	0.963309	0.999762
AluJr	Alu	sense	6448	20453	69844	0.0216196	0.0325588	-17.7137	1	1	0.0432114	0.0187084	-1.15412	0.875775	0.999762
AluJb	Alu	sense	7974	31427	121031	0.0231594	0.0328893	-20.5708	1	1	0.0416648	0.00529713	-3.49349	0.999762	0.999762
L1M1	L1	sense	505	1622	16039	0.0163975	0.0504536	-22.3003	1	1	0.102463	0.0381319	-2.25705	0.987998	0.999762
