subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1M3f	L1	antisense	29	76	576	0	0.0151757	-3.0036	0.998666	1	0.0192433	0.0297631	-0.646549	0.741038	0.999762
L1PB4	L1	antisense	322	738	2787	0.0139935	0.0217791	-3.00698	0.998681	1	0.0239525	0.0145135	-0.686189	0.753703	0.999762
L1M6	L1	sense	392	1276	3150	0.0314286	0.0409502	-3.05082	0.998859	1	0.0428579	0.0208907	-0.547102	0.707846	0.999762
L1P3	L1	sense	274	470	3703	0.0151229	0.0220809	-3.15023	0.999184	1	0.0218553	0.0142918	-0.471068	0.681204	0.999762
L1M3c	L1	antisense	26	65	471	0.00849257	0.0323919	-3.16744	0.999231	1	0.0360557	0.0206023	-1.33787	0.90953	0.999762
L1ME3D	L1	antisense	193	523	1677	0.0166965	0.028929	-3.19923	0.999311	1	0.0361621	0.0271706	-0.716423	0.763135	0.999762
L1ME5	L1	sense	290	642	1609	0.0111871	0.0225175	-3.22595	0.999372	1	0.0258188	0.00916366	-1.59671	0.944835	0.999762
L1MDb	L1	sense	67	215	925	0.00216216	0.0141342	-3.22975	0.999381	1	0.0154973	0.0145954	-0.913654	0.819551	0.999762
AluSq2	Alu	antisense	5165	12026	35400	0.0329096	0.0358779	-3.28763	0.999495	1	0.0427687	0.0061673	-1.59861	0.945047	0.999762
AluSg4	Alu	antisense	957	1349	4039	0.0297103	0.0389075	-3.29563	0.999509	1	0.0478396	0.00951005	-1.90633	0.971696	0.999762
L1MA4	L1	antisense	461	1116	4811	0.030555	0.0392728	-3.43665	0.999706	1	0.0447166	0.0205493	-0.689154	0.754637	0.999762
AluSg4	Alu	sense	1184	1737	5149	0.0306856	0.0390869	-3.44518	0.999715	1	0.044006	0.00838217	-1.58914	0.943986	0.999762
L1M2a1	L1	sense	13	14	350	0.00285714	0.0332045	-3.45431	0.999724	1	0.0216356	0.0273397	-0.686857	0.753914	0.999762
AluSx1	Alu	antisense	7252	22775	72068	0.0341761	0.0364474	-3.52884	0.999791	1	0.0458094	0.0173169	-0.671791	0.749141	0.999762
L1M2	L1	sense	604	1697	10220	0.0204501	0.0259437	-3.65045	0.999869	1	0.0356181	0.0245026	-0.619038	0.732054	0.999762
L1M3c	L1	sense	43	102	775	0.00903226	0.0311276	-3.68166	0.999884	1	0.0302772	0.0275904	-0.770013	0.779354	0.999762
L1MCb	L1	antisense	41	104	458	0.00218341	0.0309874	-3.6881	0.999887	1	0.0373039	0.0366128	-0.959241	0.831281	0.999762
L1M3e	L1	sense	51	106	1312	0.0106707	0.0259637	-3.68833	0.999887	1	0.031182	0.0643674	-0.31866	0.625008	0.999762
L1ME3	L1	sense	823	2235	7186	0.0232396	0.0301542	-3.69037	0.999888	1	0.0338128	0.0255761	-0.4134	0.660343	0.999762
L1M3d	L1	sense	38	84	461	0.0021692	0.0293715	-3.78025	0.999922	1	0.0324522	0.0630283	-0.480467	0.684552	0.999762
AluSg7	Alu	sense	1405	2120	6041	0.030293	0.038812	-3.78642	0.999924	1	0.045245	0.0133374	-1.12106	0.868869	0.999762
SVA_A	SVA	antisense	114	229	443	0.0112867	0.0439862	-3.84849	0.999941	1	0.0344488	0.0214354	-1.08056	0.860053	0.999762
