subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1PA10	L1	antisense	452	822	5157	0.0141555	0.0309126	-7.84279	1	1	0.0361882	0.0189678	-1.16158	0.877297	1
L1MB8	L1	antisense	857	2220	9469	0.0181645	0.031244	-7.99495	1	1	0.0412729	0.0632601	-0.365291	0.642553	1
L1PA13	L1	sense	697	1381	10252	0.0162895	0.0290317	-8.32385	1	1	0.0327196	0.0149009	-1.10263	0.864905	1
L1PA8A	L1	sense	232	410	3917	0.00663773	0.0246795	-8.40765	1	1	0.0458809	0.0761112	-0.515604	0.696934	1
L1ME4a	L1	sense	2742	10213	14998	0.0156021	0.0256535	-8.44241	1	1	0.0349761	0.0295788	-0.654998	0.743765	1
L1MA9	L1	antisense	656	1775	5721	0.0125852	0.0299709	-8.6761	1	1	0.0346873	0.0138574	-1.59497	0.94464	1
L1M4c	L1	sense	202	775	3459	0.0101185	0.0349621	-8.69164	1	1	0.0396546	0.0236003	-1.25151	0.894626	1
AluY	Alu	sense	5969	25042	31646	0.0245529	0.0325329	-8.73929	1	1	0.038315	0.00457652	-3.00713	0.998681	1
L1MEf	L1	antisense	353	1278	5743	0.009751	0.0265261	-8.76433	1	1	0.0416018	0.0352065	-0.904685	0.817184	1
AluSg	Alu	sense	4121	9128	23529	0.0216754	0.0308469	-8.83806	1	1	0.0419534	0.0124492	-1.62886	0.948329	1
L1MC5	L1	sense	1661	4855	12075	0.0187164	0.0317042	-8.97652	1	1	0.0364344	0.00749256	-2.36476	0.990979	1
L1M2	L1	antisense	338	897	3218	0.0198881	0.0508266	-9.0098	1	1	0.0587428	0.0273529	-1.4205	0.922269	1
L1MB4	L1	sense	870	2605	7970	0.0125471	0.0276871	-9.08847	1	1	0.0370398	0.014505	-1.68858	0.95435	1
L1MD2	L1	sense	876	2472	9076	0.0123402	0.0264647	-9.10817	1	1	0.0345821	0.0186566	-1.19217	0.883402	1
L1MB7	L1	antisense	1114	3143	12469	0.0153982	0.0279519	-9.18408	1	1	0.0330185	0.00781826	-2.25374	0.987894	1
L1MEd	L1	sense	1213	4953	12589	0.0173167	0.0305651	-9.29577	1	1	0.0402338	0.0118751	-1.92984	0.973187	1
AluSq2	Alu	antisense	4857	11980	28493	0.0246727	0.0338088	-9.32658	1	1	0.0387133	0.00456545	-3.07541	0.998949	1
L1MA8	L1	sense	767	2121	6920	0.00722543	0.0225985	-9.36702	1	1	0.0266844	0.0177166	-1.09835	0.863973	1
L1PA13	L1	antisense	457	915	5634	0.0138445	0.0353891	-9.43251	1	1	0.0399681	0.0359169	-0.727335	0.76649	1
L1MB3	L1	sense	1714	4961	16270	0.016472	0.0283289	-9.4708	1	1	0.033628	0.0103827	-1.65237	0.95077	1
