subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1MEg1	L1	sense	70	208	653	0.00612557	0.0145819	-1.83351	0.966637	1	0.0119989	0.0136634	-0.429857	0.66635	1
L1ME3F	L1	sense	374	1093	2911	0.0333219	0.0394178	-1.92583	0.972937	1	0.0540191	0.028144	-0.735404	0.768953	1
L1M2	L1	sense	602	1696	10004	0.0202919	0.0231707	-1.9913	0.976776	1	0.0299188	0.0170274	-0.565376	0.714091	1
AluYa5	Alu	sense	208	837	389	0.00771208	0.0218021	-2.05481	0.980051	1	0.0331236	0.0199059	-1.27659	0.899126	1
AluYj4	Alu	antisense	328	670	929	0.0139935	0.0237358	-2.06405	0.980494	1	0.0276822	0.00954889	-1.43353	0.924147	1
L1M3	L1	antisense	298	735	1821	0.0164745	0.0234862	-2.08327	0.981387	1	0.037233	0.0169447	-1.22507	0.889726	1
AluYk11	Alu	antisense	128	266	337	0.00593472	0.0230568	-2.17413	0.985152	1	0.0348496	0.0209071	-1.38302	0.91667	1
AluSq10	Alu	sense	291	463	980	0.0132653	0.0233468	-2.25479	0.987927	1	0.0289096	0.0140645	-1.11232	0.867001	1
L1M2b	L1	sense	17	29	485	0	0.011167	-2.26194	0.988149	1	0.0112467	0.0105363	-1.06742	0.85711	1
L1M7	L1	sense	224	662	1806	0.021041	0.0287983	-2.28715	0.988907	1	0.0294731	0.0432674	-0.194884	0.577258	1
AluYk4	Alu	antisense	94	176	235	0.00425532	0.0264393	-2.28809	0.988934	1	0.0357509	0.0198604	-1.58585	0.943613	1
L1MC	L1	antisense	395	941	2007	0.0139512	0.0207385	-2.29364	0.989094	1	0.0287929	0.00920697	-1.61201	0.94652	1
AluSc5	Alu	antisense	743	1273	2473	0.0246664	0.0323698	-2.3255	0.989977	1	0.0407757	0.011459	-1.40583	0.920112	1
SVA_F	SVA	sense	76	248	316	0.00316456	0.0219367	-2.37911	0.991323	1	0.0286304	0.0146881	-1.73378	0.958521	1
L1ME3C	L1	sense	331	880	1993	0.0321124	0.0415703	-2.38576	0.991478	1	0.042421	0.0241848	-0.426243	0.665035	1
L1M8	L1	sense	142	393	1104	0.0181159	0.0297576	-2.41837	0.992205	1	0.0432389	0.0180661	-1.39061	0.917828	1
L1M4a2	L1	antisense	97	247	1214	0.0329489	0.046458	-2.42843	0.992418	1	0.0488813	0.0537953	-0.296167	0.616449	1
AluYe5	Alu	antisense	97	247	219	0.00913242	0.0372785	-2.43819	0.99262	1	0.0480002	0.0172856	-2.24857	0.98773	1
L1MCc	L1	antisense	62	165	803	0.0174346	0.030529	-2.44876	0.992833	1	0.0279043	0.0335521	-0.312042	0.622496	1
L1P3	L1	sense	260	469	3093	0.0139024	0.0200266	-2.64293	0.99589	1	0.0181762	0.0102025	-0.418901	0.662356	1
L1ME4c	L1	antisense	689	1615	2889	0.017307	0.0243631	-2.65157	0.995994	1	0.0375112	0.0295742	-0.68317	0.75275	1
L1MEh	L1	antisense	87	206	799	0.0375469	0.0572076	-2.71039	0.99664	1	0.0472303	0.0325131	-0.29783	0.617084	1
L1MB4	L1	antisense	456	1141	3587	0.0183998	0.0249767	-2.76431	0.997148	1	0.0355651	0.0195752	-0.876889	0.809727	1
L1M3f	L1	antisense	29	76	570	0	0.0132174	-2.78654	0.997336	1	0.0173033	0.0286823	-0.603277	0.726838	1
L1ME3	L1	sense	820	2233	7116	0.0231872	0.028371	-2.83107	0.99768	1	0.035202	0.0303789	-0.395498	0.653762	1
L1ME3D	L1	antisense	192	523	1658	0.0162847	0.0269192	-2.849	0.997807	1	0.0303144	0.0191169	-0.733891	0.768492	1
L1M6	L1	sense	392	1276	3131	0.0306611	0.0394125	-2.85257	0.997832	1	0.0380732	0.0174487	-0.424795	0.664507	1
L1MEg2	L1	sense	56	127	425	0.00235294	0.0215092	-2.85743	0.997865	1	0.0330132	0.0186372	-1.64511	0.950027	1
L1MDb	L1	sense	66	215	916	0.00218341	0.0121129	-2.89879	0.998127	1	0.0140057	0.0111342	-1.0618	0.855838	1
L1PB4	L1	antisense	320	734	2731	0.0124497	0.0197078	-2.90797	0.998181	1	0.0235231	0.00946046	-1.1705	0.879099	1
AluSg7	Alu	antisense	1029	1643	3726	0.0257649	0.0338146	-3.00997	0.998694	1	0.0405762	0.00778643	-1.9022	0.971427	1
L1PA12	L1	antisense	97	154	1204	0.00581395	0.0160624	-3.03207	0.998786	1	0.0216065	0.0214183	-0.737338	0.769542	1
AluSc8	Alu	sense	2648	5339	10343	0.0266847	0.0315407	-3.08635	0.998987	1	0.0379164	0.00572264	-1.96268	0.975159	1
L1M3e	L1	sense	50	104	1302	0.0107527	0.0228438	-3.08678	0.998988	1	0.0246238	0.0494476	-0.280521	0.610461	1
L1M3c	L1	antisense	25	63	466	0.00858369	0.0318971	-3.10109	0.999036	1	0.0359163	0.0222862	-1.22644	0.889983	1
L1MA6	L1	sense	399	1048	4277	0.0163666	0.0227546	-3.10606	0.999052	1	0.0347777	0.0592153	-0.310918	0.622069	1
L1M3a	L1	sense	57	148	975	0.00205128	0.0135452	-3.18108	0.999266	1	0.00917339	0.0189868	-0.375109	0.64621	1
L1P2	L1	sense	121	211	2276	0.0202109	0.0310866	-3.18223	0.999269	1	0.0351613	0.0171792	-0.870264	0.807922	1
SVA_A	SVA	antisense	112	229	402	0.0124378	0.0407412	-3.211	0.999339	1	0.0316091	0.0180573	-1.06169	0.855812	1
AluYb8	Alu	sense	152	599	306	0.00326797	0.0325841	-3.22237	0.999364	1	0.0416075	0.0169633	-2.26015	0.988094	1
L1ME5	L1	sense	289	642	1605	0.00996885	0.0209588	-3.23512	0.999392	1	0.0226579	0.00978118	-1.2973	0.902735	1
L1M3d	L1	sense	37	84	457	0.00218818	0.024206	-3.2438	0.99941	1	0.026157	0.035932	-0.667059	0.747633	1
L1M2a1	L1	sense	13	14	348	0.00287356	0.0310831	-3.29287	0.999504	1	0.0218147	0.0287579	-0.658641	0.744937	1
L1M3c	L1	sense	42	102	773	0.00905563	0.0282557	-3.32837	0.999563	1	0.0284346	0.0278292	-0.696353	0.756896	1
AluYe5	Alu	sense	135	294	362	0.0220994	0.050333	-3.37141	0.999626	1	0.0393325	0.0519825	-0.331516	0.629873	1
L1MCb	L1	antisense	40	100	449	0.00222717	0.0270905	-3.38544	0.999645	1	0.029149	0.0247419	-1.08811	0.861726	1
L1MA5A	L1	antisense	165	367	1344	0.00967262	0.0228419	-3.39691	0.999659	1	0.0264305	0.0293289	-0.571377	0.716128	1
L1P3	L1	antisense	208	401	1989	0.0160885	0.0282045	-3.42422	0.999692	1	0.026458	0.0200938	-0.516054	0.697092	1
L1MEd	L1	antisense	863	2961	10400	0.0257692	0.0310989	-3.44068	0.99971	1	0.0354863	0.0113926	-0.852923	0.803149	1
AluSq4	Alu	sense	339	443	1388	0.0317003	0.0505098	-3.49097	0.999759	1	0.0510574	0.0150951	-1.28234	0.900139	1
L1M3b	L1	sense	23	54	641	0.0343214	0.0656476	-3.54343	0.999803	1	0.0527168	0.0198203	-0.928108	0.823324	1
L1MA4	L1	antisense	459	1110	4738	0.028282	0.0371332	-3.55533	0.999811	1	0.0437173	0.0229678	-0.67204	0.749221	1
L1MA4A	L1	antisense	250	606	3382	0.0141928	0.0229345	-3.6272	0.999857	1	0.0336922	0.0166569	-1.17065	0.87913	1
L1MDb	L1	antisense	29	83	376	0	0.0307185	-3.75095	0.999912	1	0.011557	0.044483	-0.259807	0.602494	1
L1M3d	L1	antisense	24	43	328	0	0.0319108	-3.78418	0.999923	1	0.0317399	0.0807204	-0.393208	0.652917	1
L1M3f	L1	sense	49	133	1201	0.0041632	0.0183892	-3.78839	0.999924	1	0.0244132	0.020174	-1.00377	0.842255	1
AluSx4	Alu	sense	1689	2812	6687	0.0228802	0.0306128	-3.92175	0.999956	1	0.0368359	0.00764415	-1.82566	0.96605	1
L1PB	L1	sense	124	238	798	0.0112782	0.0346619	-3.93926	0.999959	1	0.0392477	0.0305773	-0.914716	0.81983	1
L1PA15	L1	antisense	395	836	5808	0.0270317	0.0356956	-3.94555	0.99996	1	0.0411362	0.0239867	-0.588014	0.721739	1
AluYm1	Alu	antisense	412	741	1235	0.0097166	0.0266751	-3.97704	0.999965	1	0.0314868	0.0114209	-1.90617	0.971686	1
L1M3	L1	sense	502	1234	3236	0.0148331	0.0249587	-4.02598	0.999972	1	0.0306584	0.0155989	-1.01451	0.84483	1
AluSg4	Alu	sense	1092	1729	4224	0.0255682	0.0360344	-4.03825	0.999973	1	0.0449415	0.0510664	-0.379376	0.647796	1
L1MCa	L1	antisense	181	588	3023	0.027787	0.0400354	-4.04338	0.999974	1	0.048698	0.0272609	-0.767072	0.778481	1
L1PBa1	L1	sense	43	76	1613	0.0142591	0.0328297	-4.06198	0.999976	1	0.0305589	0.0212729	-0.766221	0.778228	1
L1MEb	L1	sense	164	379	1637	0.0128283	0.0282982	-4.09404	0.999979	1	0.0331672	0.016927	-1.20157	0.885234	1
L1M4	L1	antisense	821	2377	7667	0.0217817	0.0290034	-4.1168	0.999981	1	0.0369083	0.0173036	-0.874194	0.808994	1
L1P4	L1	sense	224	555	1812	0.00772627	0.0207858	-4.14493	0.999983	1	0.0241381	0.0195224	-0.840665	0.799732	1
L1P1	L1	sense	179	413	1218	0.00821018	0.0256598	-4.16547	0.999984	1	0.04554	0.0621988	-0.600169	0.725803	1
L1PB2	L1	antisense	149	299	1390	0.00791367	0.0237298	-4.16633	0.999985	1	0.0275223	0.0500523	-0.391763	0.652383	1
L1MEi	L1	antisense	259	700	2538	0.0126084	0.0249345	-4.31774	0.999992	1	0.0333944	0.0214522	-0.968948	0.833715	1
SVA_D	SVA	sense	262	437	1162	0.0129088	0.0343696	-4.36091	0.999994	1	0.0576192	0.0246513	-1.81371	0.965139	1
AluSg7	Alu	sense	1297	2113	4980	0.0246988	0.0350706	-4.3884	0.999994	1	0.0412001	0.00835483	-1.97506	0.97587	1
SVA_C	SVA	sense	91	126	633	0.00631912	0.0349904	-4.42104	0.999995	1	0.050381	0.0655124	-0.672574	0.749391	1
L1MEh	L1	sense	180	469	1482	0.0107962	0.0295764	-4.47446	0.999996	1	0.0297004	0.0135904	-1.39099	0.917886	1
L1ME4b	L1	antisense	1392	3381	8343	0.0264893	0.0346736	-4.50875	0.999997	1	0.0397315	0.0451419	-0.293347	0.615372	1
L1PA17	L1	antisense	239	449	1698	0.0111896	0.0273235	-4.5477	0.999997	1	0.0421421	0.0247718	-1.24951	0.89426	1
L1ME2z	L1	antisense	337	910	2476	0.0137318	0.0277131	-4.58172	0.999998	1	0.0330909	0.0179566	-1.0781	0.859506	1
L1ME3D	L1	sense	372	1073	2744	0.0105685	0.0227187	-4.64997	0.999998	1	0.0257556	0.00702707	-2.16122	0.984661	1
L1ME3E	L1	sense	387	1107	2935	0.0143101	0.0274291	-4.67879	0.999999	1	0.0279203	0.0121338	-1.12168	0.869001	1
L1ME4c	L1	sense	1046	2496	4575	0.0107104	0.0198145	-4.7651	0.999999	1	0.0320716	0.0397694	-0.537128	0.70441	1
L1MD1	L1	sense	487	1706	8382	0.0161059	0.0235921	-4.77174	0.999999	1	0.0282142	0.0161447	-0.749985	0.773368	1
L1ME3C	L1	antisense	222	507	1549	0.0174306	0.0386076	-4.78561	0.999999	1	0.038466	0.013982	-1.50446	0.933768	1
L1MA6	L1	antisense	246	548	2447	0.0294238	0.0488019	-4.78577	0.999999	1	0.0496929	0.0371863	-0.545069	0.707147	1
L1PA14	L1	antisense	167	322	2249	0.0084482	0.022708	-4.79487	0.999999	1	0.0228831	0.0144355	-0.999964	0.841336	1
L1ME3G	L1	antisense	971	2500	5375	0.0173023	0.0274924	-4.8375	0.999999	1	0.0344426	0.00992698	-1.72664	0.957884	1
AluSg4	Alu	antisense	879	1346	3229	0.0216785	0.0362995	-4.847	0.999999	1	0.0436593	0.00833712	-2.6365	0.995812	1
L1PA11	L1	antisense	263	444	2927	0.0167407	0.0311528	-4.89714	1	1	0.0241203	0.0095709	-0.771051	0.779662	1
L1PA7	L1	antisense	644	1462	9981	0.0404769	0.0498067	-4.90326	1	1	0.0529236	0.0271699	-0.458106	0.676562	1
L1MC2	L1	antisense	242	674	2649	0.0154775	0.0303711	-4.93495	1	1	0.0477306	0.0363288	-0.887809	0.812678	1
L1MA1	L1	antisense	134	350	1407	0.00995025	0.0327597	-4.94574	1	1	0.0331085	0.018818	-1.23065	0.890772	1
L1MEj	L1	sense	193	465	1192	0.0142617	0.0394006	-4.96077	1	1	0.0560613	0.0279624	-1.49485	0.932523	1
L1PA15-16	L1	antisense	40	100	902	0.00554324	0.0348778	-5.03137	1	1	0.0396311	0.0435872	-0.78206	0.78291	1
L1PA6	L1	antisense	272	610	3462	0.0118429	0.0237835	-5.07581	1	1	0.041185	0.0844442	-0.347473	0.635882	1
L1MA2	L1	antisense	254	728	4497	0.0235713	0.0369134	-5.09655	1	1	0.0372755	0.0236599	-0.579219	0.718779	1
L1PB3	L1	sense	318	669	4249	0.00658979	0.0160508	-5.09953	1	1	0.0222255	0.0118973	-1.31423	0.905616	1
L1PB1	L1	antisense	509	1333	8014	0.0218368	0.0310432	-5.11589	1	1	0.03506	0.0156303	-0.845996	0.801223	1
L1ME3B	L1	antisense	368	1206	4085	0.0141983	0.0260113	-5.13278	1	1	0.0395528	0.0166428	-1.52345	0.936177	1
L1ME2z	L1	sense	695	2155	5335	0.0114339	0.020602	-5.16437	1	1	0.0260969	0.0119511	-1.22691	0.890072	1
L1PB2	L1	sense	298	567	3523	0.0193017	0.033446	-5.16549	1	1	0.0304019	0.0107539	-1.0322	0.849011	1
L1MA7	L1	antisense	438	1054	3328	0.0228365	0.0376896	-5.18279	1	1	0.0547053	0.0578867	-0.550537	0.709025	1
AluSc	Alu	antisense	3035	6436	12951	0.0225465	0.0296776	-5.18518	1	1	0.039699	0.00798245	-2.14877	0.984174	1
L1M7	L1	antisense	154	378	1567	0.0306318	0.0565702	-5.19979	1	1	0.078003	0.0602658	-0.786037	0.784077	1
L1MEb	L1	antisense	83	210	816	0.00245098	0.0329218	-5.28445	1	1	0.0279548	0.0260172	-0.980267	0.836523	1
L1MD3	L1	sense	497	1277	3448	0.00899072	0.0211905	-5.31184	1	1	0.0243924	0.00822027	-1.87363	0.969509	1
L1MEg1	L1	antisense	23	58	283	0.024735	0.0900275	-5.31856	1	1	0.164898	0.112597	-1.24483	0.893402	1
L1MEi	L1	sense	338	966	2644	0.0075643	0.021668	-5.36895	1	1	0.0326033	0.0135676	-1.8455	0.967518	1
L1MEc	L1	antisense	502	1653	8955	0.0244556	0.0337655	-5.38519	1	1	0.0361437	0.0112303	-1.04076	0.851007	1
L1ME3A	L1	antisense	657	1638	5959	0.0166135	0.026616	-5.45989	1	1	0.0319327	0.0519793	-0.294718	0.615895	1
L1ME2	L1	antisense	513	1395	5410	0.0118299	0.0223348	-5.51501	1	1	0.0283205	0.00670512	-2.4594	0.993041	1
L1MA1	L1	sense	283	720	4453	0.00965641	0.0207795	-5.51997	1	1	0.0290836	0.0202115	-0.961197	0.831773	1
L1PA8	L1	antisense	426	911	3306	0.0175439	0.033018	-5.59127	1	1	0.0386079	0.0306453	-0.687352	0.754069	1
L1M6	L1	antisense	253	720	2108	0.0104364	0.0265781	-5.59639	1	1	0.0337466	0.0431745	-0.539907	0.705369	1
L1M5	L1	antisense	2336	7727	16671	0.0262132	0.0332747	-5.66146	1	1	0.0430509	0.0115158	-1.46213	0.928148	1
AluSx3	Alu	antisense	3004	6241	13604	0.0275654	0.0358631	-5.70092	1	1	0.042908	0.00724875	-2.11658	0.982852	1
L1MD	L1	sense	764	1960	4545	0.0154015	0.0290388	-5.85228	1	1	0.0323606	0.00787195	-2.15436	0.984394	1
L1PBa	L1	antisense	72	159	1946	0.0118191	0.0343141	-5.88395	1	1	0.043372	0.0329636	-0.957203	0.830768	1
